Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,trialEvents,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,exp,subjectId,date
Syzygy,7,What's the astronomical term for three celestial bodies aligning?   ,302,0.695,0,1709.199999988079,t,W,5380.199999988079,9594.699999988079,"[{'event': 'fullscreenchange', 'details': 'fullscreenexit', 'performance time': 11982, 'date time': 1657562341665}]",13604.09999999404,2,1052.2999999821186,15866.899999976158,HRV,HRV_0006,2022-07-11 14:08:53
Untethered space walk,4,Challenger Astronaut Bruce McCandless II became Earth's first human to ever do what?,31,0.935,1,15867.0,t,W,6781.0,25156.59999999404,,29161.09999999404,2,1352.199999988079,31976.399999976158,HRV,HRV_0006,2022-07-11 14:08:53
"Gail Borden, Jr. ",7,Who invented condensed milk in 1856? ,414,0.775,2,31976.399999976158,q,S,1768.0,,,,,,35043.59999999404,HRV,HRV_0006,2022-07-11 14:08:53
Thrust,1,What term for a rocket's propulsive force is calculated by multiplying its exhaust velocity by the burn rate of its fuel?,265,0.852,3,35043.69999998808,q,S,1662.5999999940395,,,,,,38076.09999999404,HRV,HRV_0006,2022-07-11 14:08:53
Harmonica,7,"What's sometimes called a ""licking stick"" or a ""tin sandwich""?  ",301,1.859,4,38076.19999998808,q,S,1673.199999988079,,,,,,42114.5,HRV,HRV_0006,2022-07-11 14:08:53
Canadian Oil,4,What is canola an abbreviation for?,436,0.744,5,42114.59999999404,q,S,1848.2999999821186,,,,,,45211.0,HRV,HRV_0006,2022-07-11 14:08:53
The paper clip,2,"""Gem"" is the trade name for the most common, three-loop design of what?",4,1.187,6,45211.09999999404,q,S,7208.0,,,,,,54127.59999999404,HRV,HRV_0006,2022-07-11 14:08:53
Bolivia,4,"Of all the countries named for a person, which country is named for the person who lived most recently?",75,0.539,7,54127.69999998808,q,S,1844.0,,,,,,57026.5,HRV,HRV_0006,2022-07-11 14:08:53
The Pope,2,"Currently, only the queen of Spain and Belgium and the grand duchess of Luxembourg hold the privlege of wearing white when they visit whom?",32,1.991,8,57026.5,q,S,2238.2999999821186,,,,,,61784.29999998212,HRV,HRV_0006,2022-07-11 14:08:53
The barrel of a gun,1,"According to Chairman Mao, ""political power grows out of"" what?",11,0.939,9,61784.29999998212,q,S,1600.7000000178814,,,,,,64848.79999998212,HRV,HRV_0006,2022-07-11 14:08:53
James Buchanan ,3,Who was the only U.S. president never to be married?,383,1.989,10,64848.79999998212,q,S,1641.300000011921,,,,,,68996.59999999404,HRV,HRV_0006,2022-07-11 14:08:53
Bright red,3,Vitamin A is largely available in natural food sources with which colour?,448,0.803,11,68996.59999999404,q,S,2600.199999988079,,,,,,72918.09999999404,HRV,HRV_0006,2022-07-11 14:08:53
Germany,2,Which European country was the first to produce decaffeinated coffee? ,412,1.57,12,72918.09999999404,q,S,1995.0999999940395,,,,,,76998.09999999404,HRV,HRV_0006,2022-07-11 14:08:53
Apple sauce,5,What was the first food eaten in space?,435,0.878,13,76998.09999999404,q,S,1636.699999988079,,,,,,80031.5,HRV,HRV_0006,2022-07-11 14:08:53
Eddie Van Halen,3,"Who performs the guest guitar solo on Michael Jackson's ""Beat It""?  ",371,1.222,14,80031.59999999404,q,S,3413.0,,,,,,85180.69999998808,HRV,HRV_0006,2022-07-11 14:08:53
It's stamped on the coin's edge.,6,"What is unusual about the ""in God We Trust"" Motto on the U.S. Mint's recent presidential dollar coins?",215,1.084,15,85180.79999998212,,,,,,,,,94703.59999999404,HRV,HRV_0006,2022-07-11 14:08:53
Steamboat Geyser,6,"Which Yellowstone geyser, with eruptions 100 fee taller than Old Faithful's, is the world's tallest?",359,1.332,16,94703.69999998808,q,S,1564.5,,,,,,98115.39999997616,HRV,HRV_0006,2022-07-11 14:08:53
