Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
Monrovia,6,What African capital city is named after a U.S. president? ,128,1.216,0,3174.5999999046326,q,S,1792.5,6711.0,HRV,HRV_0010,2022-11-30 17:46:53
The Big Bang,4,"Arno Penzias and Robert Wilson shared a Nobel Prize for accidentally discovering ""CMB,"" leftover radiation from what?",22,1.035,1,6711.200000047684,q,S,2520.0,10801.0,HRV,HRV_0010,2022-11-30 17:46:53
Peter Pan ,2,What was the first English play to be written especially for children? ,283,0.824,2,10801.0,q,S,1946.8999998569489,14094.0,HRV,HRV_0010,2022-11-30 17:46:53
George H.W. Bush ,2,"Who said: ""I'm the president of the United States and I'm not going to eat any more broccoli""? ",415,0.781,3,14094.099999904633,q,S,2870.7000000476837,18273.5,HRV,HRV_0010,2022-11-30 17:46:53
Ripe cranerries bounce when dropped on the ground,7,How do farmers test whether cranberries are ripe?,452,1.887,4,18273.5,q,S,2312.5,22986.599999904633,HRV,HRV_0010,2022-11-30 17:46:53
Australia,2,What country has six sheep for every human? ,158,0.558,5,22986.599999904633,q,S,2246.4000000953674,26306.700000047684,HRV,HRV_0010,2022-11-30 17:46:53
over 10 billion donuts. ,3,How many donuts are concumed in the US every year?,463,0.749,6,26306.700000047684,q,S,1935.0,29509.0,HRV,HRV_0010,2022-11-30 17:46:53
Syzygy,2,What's the astronomical term for three celestial bodies aligning?   ,302,1.739,7,29509.0,q,S,2493.5,34259.5,HRV,HRV_0010,2022-11-30 17:46:53
Coca-Cola,1,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,1.821,8,34259.5,q,S,1990.7999999523163,38582.09999990463,HRV,HRV_0010,2022-11-30 17:46:53
Haddock,3,"If you ordered an Omelet Arnold Bennett, what fish would you find in it?",429,1.521,9,38582.200000047684,q,S,3097.2999999523163,43726.09999990463,HRV,HRV_0010,2022-11-30 17:46:53
The bishop,6,Which chess piece was originally called 'the elephant'? ,334,1.265,10,43726.09999990463,q,S,1748.5,47265.89999985695,HRV,HRV_0010,2022-11-30 17:46:53
popscicle,2,What food was invented by an 11 year old in 1905?,450,1.88,11,47266.0,q,S,2660.5999999046326,52343.5,HRV,HRV_0010,2022-11-30 17:46:53
Choking on food,7,"Each year, approximately 125 people die of what? ",417,0.502,12,52343.59999990463,q,S,1644.7999999523163,55002.59999990463,HRV,HRV_0010,2022-11-30 17:46:53
A glacial ridge,5,What is an esker? ,198,1.963,13,55002.59999990463,q,S,1930.7999999523163,59424.5,HRV,HRV_0010,2022-11-30 17:46:53
Pepper and Mustard,1,What are the top two most popular spices in the world?,422,0.53,14,59424.5,q,S,2945.5999999046326,63427.200000047684,HRV,HRV_0010,2022-11-30 17:46:53
Sepia,6,What tinting process for black and white photography was named for the genus of cuttlefish that originally provided the pigment?,266,1.16,15,63427.299999952316,q,S,3061.4000000953674,68165.59999990463,HRV,HRV_0010,2022-11-30 17:46:53
The Mini Cooper,3,"With over 5.3 million sold since 1959, what's by far the most successful British car of all time?",394,0.625,16,68165.70000004768,q,S,2838.5999999046326,72140.5,HRV,HRV_0010,2022-11-30 17:46:53
PayPal,4,YouTube.com is the brainchild of three former employees of what other major website? ,396,1.201,17,72140.5,q,S,1762.7000000476837,75627.0,HRV,HRV_0010,2022-11-30 17:46:53
James Buchanan ,5,Who was the only U.S. president never to be married?,383,1.267,18,75627.0,q,S,1741.7999999523163,79158.59999990463,HRV,HRV_0010,2022-11-30 17:46:53
Shenandoah Valley,7,What area changed hands 72 times during the Civil War? ,139,1.497,19,79158.59999990463,q,S,1956.0,83126.5,HRV,HRV_0010,2022-11-30 17:46:53
Ohio,5,Which is the only U.S. state that has a pennant-shaped flag instead of a rectangular one?  ,345,0.897,20,83126.5,q,S,2546.0999999046326,87088.89999985695,HRV,HRV_0010,2022-11-30 17:46:53
Belgium,2,Where were French fries invented?,437,1.803,21,87088.89999985695,q,S,1861.5,91280.79999995232,HRV,HRV_0010,2022-11-30 17:46:53
It sits beside the Finger Lakes ,4,"Why is Oneida Lake, near Syracuse, New York, sometimes called ""the thumb""?",393,1.121,22,91280.79999995232,q,S,1842.7000000476837,94773.70000004768,HRV,HRV_0010,2022-11-30 17:46:53
Endeavour ,3,What is the name of the ship that carried Captain Cook to Australia?  ,208,1.957,23,94773.70000004768,q,S,1700.5999999046326,98954.5,HRV,HRV_0010,2022-11-30 17:46:53
Ostrich,5,Which animal's eyes are bigger than its brain?   ,327,1.242,24,98954.5,q,S,1515.3999998569489,102255.79999995232,HRV,HRV_0010,2022-11-30 17:46:53
George Orwell ,1,"Whose first book was ""Down and Out in Paris and London"", about his year among the poverty-stricken underclass of those cities?",388,1.463,25,102255.89999985695,q,S,2389.800000190735,106641.70000004768,HRV,HRV_0010,2022-11-30 17:46:53
Broccoli! ,1,Whice vegeteable has more vitamin C than an orange and as much calcium as whole milk?,456,1.103,26,106641.70000004768,q,S,3164.0,111431.89999985695,HRV,HRV_0010,2022-11-30 17:46:53
Tuxedo Club ,2,What New York country club lent its name to the kind of dinner jacket first worn there in 1886?  ,238,0.913,27,111432.0,q,S,2662.399999856949,115529.09999990463,HRV,HRV_0010,2022-11-30 17:46:53
Your blind spot,2,What's the more common name for the retinal scotoma caused by the optic nerve? ,303,1.04,28,115529.09999990463,q,S,4241.299999952316,121341.59999990463,HRV,HRV_0010,2022-11-30 17:46:53
Snoopy's,6,"Whose doghouse apparently contains a basement, a pool table, an Andrew Wyeth painting, and a Jacuzzi?",387,1.403,29,121341.59999990463,q,S,3911.5,127172.39999985695,HRV,HRV_0010,2022-11-30 17:46:53
The U.S. Air Force,6,What current branch of the U.S. military was a corps of only 50 soldiers when World War I broke out?,161,1.713,30,127172.39999985695,q,S,3541.4000000953674,132968.70000004768,HRV,HRV_0010,2022-11-30 17:46:53
Plumbing,4,"What common English word derives from the Latin for ""lead"", for the Roman practice of making water pipes out of lead?",153,1.237,31,132968.70000004768,q,S,2616.399999856949,137349.59999990463,HRV,HRV_0010,2022-11-30 17:46:53
Uncle Tom's Cabin ,7,What was the first American novel to sell one million copies? ,281,1.109,32,137349.59999990463,q,S,2197.9000000953674,141179.89999985695,HRV,HRV_0010,2022-11-30 17:46:53
Catapult ,5,What artillery weapon was launched upon the world in 400 B.C.?  ,140,0.635,33,141179.89999985695,q,S,5048.700000047684,147393.20000004768,HRV,HRV_0010,2022-11-30 17:46:53
The Loch Ness Monster,7,"In 1994, Christian Spurling confessed that the so-called Surgeon's Photo of 1934 was a fake. What was pictured in it?",55,1.683,34,147393.20000004768,q,S,1598.8999998569489,151208.29999995232,HRV,HRV_0010,2022-11-30 17:46:53
Silicon,7,What element is combined with oxygen to make up the mineral quartz?,269,0.631,35,151208.29999995232,q,S,1872.7000000476837,154242.0,HRV,HRV_0010,2022-11-30 17:46:53
Adding olive juice,3,What turns a plain martini into a dirty martini?,440,1.416,36,154242.0,q,S,2493.7999999523163,158672.09999990463,HRV,HRV_0010,2022-11-30 17:46:53
Thomas Hardy,3,"Though the rest of him lies in Westminster Abbey, what writer's heart is buried near his native Dorchester?",116,0.876,37,158672.09999990463,q,S,1615.2999999523163,161683.79999995232,HRV,HRV_0010,2022-11-30 17:46:53
Bacon,5,"In Britain, what kind of meat comes in rashers?",397,1.966,38,161683.79999995232,q,S,4654.900000095367,168831.20000004768,HRV,HRV_0010,2022-11-30 17:46:53
Sic semper tyrannis ,2,What state motto of Virginia did John Wilkes Booth shout as he jumped from Lincoln's box to the stage of Ford's Theatre? ,262,1.159,39,168831.20000004768,q,S,1967.3999998569489,172485.70000004768,HRV,HRV_0010,2022-11-30 17:46:53
Cell,1,Robert Hooke coined what scientific term after looking at a piece of cork under a microscope?,81,0.552,40,172485.70000004768,q,S,2458.2999999523163,176032.09999990463,HRV,HRV_0010,2022-11-30 17:46:53
China,6,Which country first used the decimal system?  ,338,0.836,41,176032.09999990463,q,S,2005.4000000953674,179392.09999990463,HRV,HRV_0010,2022-11-30 17:46:53
chickpeas,7,What is used to make hummus?,424,0.619,42,179392.09999990463,q,S,1671.2000000476837,182213.79999995232,HRV,HRV_0010,2022-11-30 17:46:53
James Brown,4,"When asked to define ""cool,"" what two words did James Brown use? ",312,1.06,43,182213.79999995232,q,S,3327.0,187121.29999995232,HRV,HRV_0010,2022-11-30 17:46:53
Bhutan,5,"Thimpu, the world's only capital city with no traffic lights, is the capital of what tiny kingdom?",114,1.423,44,187121.39999985695,q,S,2961.4000000953674,192030.70000004768,HRV,HRV_0010,2022-11-30 17:46:53
honey,4,Which is the only food that can never go off or go bad?,442,1.241,45,192030.70000004768,q,S,3561.699999809265,197349.59999990463,HRV,HRV_0010,2022-11-30 17:46:53
Francisco Goya,7,"After a fever took his hearing, who painted his bleak ""Black Paintings"" in a house called Quinta del Sordo, Spanish for ""House of the Deaf Man""?",15,1.336,46,197349.59999990463,q,S,4040.7999999523163,203256.29999995232,HRV,HRV_0010,2022-11-30 17:46:53
Vietnam,1,"In what country did the domesticated ""potbellied pig"" originate?",61,1.346,47,203256.29999995232,q,S,2696.2999999523163,207825.39999985695,HRV,HRV_0010,2022-11-30 17:46:53
" ""!"" ",6,"Eager to find out how his novel Les Miserables was being received, Victor Hugo sent a telegram to his publisher that read ""?"" What did his publisher reply?",35,1.495,48,207825.39999985695,q,S,3797.0,213645.29999995232,HRV,HRV_0010,2022-11-30 17:46:53
The Missouri River ,7,"What forms the only part of the Kansas border, a seventy-five mile stretch, that's not drawn with a straight edge?",179,0.804,49,213645.29999995232,q,S,2114.4000000953674,217095.5,HRV,HRV_0010,2022-11-30 17:46:53
Saffron,6,What is the most expensive spice (by weight) in the world?,431,0.888,50,217095.59999990463,p,K,6102.400000095367,224610.59999990463,HRV,HRV_0010,2022-11-30 17:46:53
Generals,5,Eleven U.S. presidents have been what before being elected?,36,1.141,51,224610.59999990463,,,,234140.59999990463,HRV,HRV_0010,2022-11-30 17:46:53
Lightning strike,6,Carnivorous animals will not eat another animal that has been killed by what means?,29,1.651,52,234140.59999990463,q,S,3803.7999999523163,240115.29999995232,HRV,HRV_0010,2022-11-30 17:46:53
Avocados have twice the amount of potassium as bananas. ,2,Which fruit has more potassium than bananas?,455,0.78,53,240115.29999995232,q,S,2448.5999999046326,243869.39999985695,HRV,HRV_0010,2022-11-30 17:46:53
Pressure,6,What is measured in millibars? ,202,0.976,54,243869.39999985695,q,S,2247.7000000476837,247610.39999985695,HRV,HRV_0010,2022-11-30 17:46:53
