success,trial_type,trial_index,time_elapsed,internal_node_id,Block,TrialNumber,TrialTime,trialTimeDiff,FPS_avg,FPS_med,FPS_mode,TrialDur,winResizeTime,rt,block,button_pressed,missTrial,missTrialMsg,MotCoh,MotDir,ColCoh,Color,ChoiceKey,Choice,Accuracy,RT,nFrames,FPS,PPD,onsetDelay,fullScreenExitTime,canvCenter,TrialType,Score,BlockTrial,stimulus,button_labels,exp,subjectId,date
True,fullscreen,0,4766,0.0-0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0060,2022-11-30 18:06:20
,wl-check-fps,1,9761,0.0-1.0,0.0,2.0,"[6291.8, 6292.9, 6308.8, 6325.1, 6341.9, 6358.5, 6375.4, 6391.9, 6408.5, 6426, 6441.8, 6458.5, 6475.4, 6491.7, 6508.4, 6525.1, 6541.8, 6558.4, 6575.1, 6591.8, 6608.5, 6625.1, 6641.8, 6658.6, 6675.2, 6691.9, 6708.4, 6725.2, 6741.9, 6758.5, 6775.1, 6791.9, 6808.5, 6825.1, 6841.9, 6858.5, 6875.1, 6891.9, 6908.5, 6925.2, 6941.9, 6958.5, 6975.2, 6991.9, 7008.5, 7025.2, 7041.9, 7058.5, 7075.2, 7091.9, 7108.6, 7125.3, 7142, 7158.5, 7175.3, 7191.9, 7208.5, 7225.3, 7241.9, 7258.6, 7275.2, 7291.9, 7308.5, 7325.3, 7341.9, 7358.6, 7375.3, 7392, 7408.7, 7425.3, 7441.9, 7458.6, 7475.2, 7491.9, 7508.6, 7525.3, 7542, 7558.7, 7575.3, 7592, 7608.7, 7625.3, 7642, 7658.7, 7675.4, 7692.1, 7708.7, 7725.3, 7742, 7758.7, 7775.4, 7792.1, 7808.7, 7825.4, 7842.1, 7858.7, 7875.4, 7892.1, 7908.7, 7925.4, 7942.1, 7958.8, 7975.3, 7992.1, 8008.7, 8025.4, 8042.2, 8058.8, 8075.4, 8092.1, 8108.7, 8125.5, 8142.2, 8158.9, 8175.5, 8192.1, 8208.8, 8225.5, 8242.2, 8258.8, 8275.5, 8292.2, 8308.9, 8325.4, 8342.1, 8358.8, 8375.5, 8392.2, 8408.9, 8425.5, 8442.2, 8458.8, 8475.5, 8492.2, 8508.9, 8525.5, 8542.4, 8558.9, 8575.8, 8592.5, 8609.1, 8625.9, 8642.6, 8661.1, 8676, 8692.5, 8709.2, 8725.8, 8742.5, 8759.1, 8775.9, 8792.5, 8809.3, 8825.9, 8842.6, 8859.2, 8875.9, 8892.5, 8909.2, 8926.6, 8942.6, 8959.2, 8976, 8992.6, 9009.2, 9026, 9042.6, 9059.2, 9076, 9092.6, 9109.3, 9125.9, 9142.6, 9159.3, 9175.9, 9192.7, 9209.3, 9226, 9242.7, 9259.3, 9276, 9292.7, 9309.4, 9326, 9342.6, 9359.3, 9376.1, 9392.7, 9409.3, 9426, 9442.7, 9459.4, 9476.1, 9492.6, 9509.4, 9526.1, 9543.1, 9559.4, 9576.1, 9592.7, 9609.4, 9626, 9642.7, 9659.9, 9676, 9692.5, 9709.2, 9725.9, 9742.8, 9759.4, 9776.1, 9792.8, 9809.4, 9826.2, 9842.8, 9859.5, 9876.1, 9892.8, 9909.6, 9926.7, 9942.9, 9959.8, 9977, 9992.9, 10009.6, 10026.8, 10042.8, 10059.6, 10076, 10092.5, 10109.2, 10126, 10142.9, 10159.2, 10175.9, 10192.6, 10209.3, 10226.9, 10242.6, 10259.3, 10276.1, 10292.6, 10309.3, 10326, 10342.9, 10359.3, 10377.4, 10393.2, 10409.8, 10426.6, 10443.1, 10460.2, 10476.7, 10492.9, 10509.7, 10527.3, 10543.1, 10559.4, 10576, 10593, 10609.4, 10626, 10642.7, 10659.5, 10676.1, 10692.8, 10709.4, 10726, 10742.8, 10759.5, 10776.1, 10792.8, 10809.4, 10826.1, 10842.8, 10859.4, 10876.1, 10892.8, 10909.5, 10926.2, 10942.8, 10959.5, 10976.1, 10992.8, 11009.5, 11026.1, 11042.8, 11059.4, 11076.2, 11092.8, 11109.4, 11126.1, 11142.8, 11159.5, 11176.2, 11192.8, 11209.6, 11226.2, 11242.9, 11259.5]","[2.9, 1.1, 15.9, 16.3, 16.8, 16.6, 16.9, 16.5, 16.6, 17.5, 15.8, 16.7, 16.9, 16.3, 16.7, 16.7, 16.7, 16.6, 16.7, 16.7, 16.7, 16.6, 16.7, 16.8, 16.6, 16.7, 16.5, 16.8, 16.7, 16.6, 16.6, 16.8, 16.6, 16.6, 16.8, 16.6, 16.6, 16.8, 16.6, 16.7, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.7, 16.7, 16.7, 16.7, 16.5, 16.8, 16.6, 16.6, 16.8, 16.6, 16.7, 16.6, 16.7, 16.6, 16.8, 16.6, 16.7, 16.7, 16.7, 16.7, 16.6, 16.6, 16.7, 16.6, 16.7, 16.7, 16.7, 16.7, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.7, 16.7, 16.7, 16.6, 16.6, 16.7, 16.7, 16.7, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.7, 16.7, 16.5, 16.8, 16.6, 16.7, 16.8, 16.6, 16.6, 16.7, 16.6, 16.8, 16.7, 16.7, 16.6, 16.6, 16.7, 16.7, 16.7, 16.6, 16.7, 16.7, 16.7, 16.5, 16.7, 16.7, 16.7, 16.7, 16.7, 16.6, 16.7, 16.6, 16.7, 16.7, 16.7, 16.6, 16.9, 16.5, 16.9, 16.7, 16.6, 16.8, 16.7, 18.5, 14.9, 16.5, 16.7, 16.6, 16.7, 16.6, 16.8, 16.6, 16.8, 16.6, 16.7, 16.6, 16.7, 16.6, 16.7, 17.4, 16, 16.6, 16.8, 16.6, 16.6, 16.8, 16.6, 16.6, 16.8, 16.6, 16.7, 16.6, 16.7, 16.7, 16.6, 16.8, 16.6, 16.7, 16.7, 16.6, 16.7, 16.7, 16.7, 16.6, 16.6, 16.7, 16.8, 16.6, 16.6, 16.7, 16.7, 16.7, 16.7, 16.5, 16.8, 16.7, 17, 16.3, 16.7, 16.6, 16.7, 16.6, 16.7, 17.2, 16.1, 16.5, 16.7, 16.7, 16.9, 16.6, 16.7, 16.7, 16.6, 16.8, 16.6, 16.7, 16.6, 16.7, 16.8, 17.1, 16.2, 16.9, 17.2, 15.9, 16.7, 17.2, 16, 16.8, 16.4, 16.5, 16.7, 16.8, 16.9, 16.3, 16.7, 16.7, 16.7, 17.6, 15.7, 16.7, 16.8, 16.5, 16.7, 16.7, 16.9, 16.4, 18.1, 15.8, 16.6, 16.8, 16.5, 17.1, 16.5, 16.2, 16.8, 17.6, 15.8, 16.3, 16.6, 17, 16.4, 16.6, 16.7, 16.8, 16.6, 16.7, 16.6, 16.6, 16.8, 16.7, 16.6, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.7, 16.7, 16.7, 16.6, 16.7, 16.6, 16.7, 16.7, 16.6, 16.7, 16.6, 16.8, 16.6, 16.6, 16.7, 16.7, 16.7, 16.7, 16.6, 16.8, 16.6, 16.7, 16.6]",60.0,60.0,60.0,4987.8,[],,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0060,2022-11-30 18:06:20
,wl-html-keyboard-response,2,29350,0.0-2.0-0.0,0.0,2.0,,,,,,,,17568.300000000745,0.0,0,True,undefinedblurEvent ,,,,,,,,,,,,,,,,,,,,HRV,HRV_0060,2022-11-30 18:06:20
,wl-rdm,3,42814,0.0-3.0-0.0,0.0,3.0,,,,,,,[],,,,False,,0.0,0.0,87.9,0.0,u,0.0,True,7876.10000000149,471.0,60.0,40.0,3000.0,[],"[640, 360]",ColorTask_Demo,,,,,HRV,HRV_0060,2022-11-30 18:06:20
,wl-rdm,4,48582,0.0-3.0-1.0,0.0,4.0,,,,,,,[],,,,False,,0.0,0.0,87.9,1.0,i,1.0,True,1694.7000000011176,102.0,60.0,40.0,2000.0,[],"[640, 360]",ColorTask_Demo,,,,,HRV,HRV_0060,2022-11-30 18:06:20
,wl-html-keyboard-response,5,57093,0.0-3.0-2.0,0.0,5.0,,,,,,,,6504.5999999996275,0.0,1,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0060,2022-11-30 18:06:20
,wl-html-keyboard-response,6,70837,0.0-4.0-0.0,0.0,6.0,,,,,,,,11732.900000000373,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0060,2022-11-30 18:06:20
,wl-html-keyboard-response,7,85493,0.0-5.0-0.0,0.0,7.0,,,,,,,,12646.900000000373,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0060,2022-11-30 18:06:20
,wl-rdm,8,88122,0.0-6.0-0.0,0.0,8.0,,,,,,,[],,,,False,,,,73.6,1.0,i,1.0,True,1281.4000000003725,77.0,60.0,40.0,276.2104994772823,[],"[640, 360]",ColorTask,1.0,1.0,,,HRV,HRV_0060,2022-11-30 18:06:20
,wl-rdm,9,91156,0.0-6.1-0.1,0.0,9.0,,,,,,,[],,,,False,,,,53.2,0.0,u,0.0,True,1677.1000000014901,101.0,60.0,40.0,297.77340125641024,[],"[640, 360]",ColorTask,2.0,2.0,,,HRV,HRV_0060,2022-11-30 18:06:20
