success,trial_type,trial_index,time_elapsed,internal_node_id,Block,TrialNumber,TrialTime,trialTimeDiff,FPS_avg,FPS_med,FPS_mode,TrialDur,winResizeTime,rt,block,button_pressed,MotCoh,MotDir,ColCoh,Color,ChoiceKey,Choice,Accuracy,RT,nFrames,FPS,PPD,missTrial,missTrialMsg,onsetDelay,fullScreenExitTime,canvCenter,TrialType,Score,BlockTrial,stimulus,button_labels,exp,subjectId,date
True,fullscreen,0,2573,0.0-0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0080,2022-11-30 18:03:57
,wl-check-fps,1,7565,0.0-1.0,0.0,2.0,"[3680.1, 3682, 3698.1, 3714.8, 3731.2, 3748.2, 3764.9, 3781.5, 3798.3, 3815.2, 3832, 3848.4, 3865.1, 3881.1, 3897.8, 3914.5, 3931.1, 3947.8, 3964.8, 3981.3, 3998, 4014.7, 4031.5, 4048.2, 4065.2, 4081.5, 4098.4, 4115.3, 4131.2, 4147.9, 4164.5, 4181.3, 4198.4, 4214.9, 4231.4, 4248.4, 4265.2, 4281.4, 4298.3, 4314.8, 4331.2, 4348.5, 4365, 4381.3, 4398.5, 4415.3, 4431.1, 4447.9, 4464.9, 4481.3, 4498.3, 4514.6, 4531.2, 4548.1, 4564.5, 4581.4, 4598.2, 4614.9, 4631.1, 4648.2, 4664.7, 4681, 4698.2, 4714.3, 4731.1, 4747.7, 4764.5, 4780.8, 4797.3, 4814, 4830.5, 4847.6, 4864.1, 4880.7, 4897.7, 4914.5, 4931, 4947.6, 4964.4, 4981, 4997.8, 5014.4, 5031, 5048, 5064.6, 5081.1, 5097.9, 5115, 5130.4, 5147.9, 5164.1, 5180.8, 5197.5, 5214.5, 5230.9, 5247.8, 5264.3, 5281.1, 5297.6, 5313.8, 5330.3, 5347.3, 5364.3, 5380.9, 5397.6, 5414, 5431, 5447.6, 5464.3, 5481.1, 5497.3, 5514.4, 5530.6, 5547.4, 5564.3, 5580.7, 5597.2, 5614.2, 5630.8, 5647.6, 5664.3, 5680.8, 5697.4, 5713.9, 5730.4, 5747.3, 5764.3, 5780.8, 5797.7, 5813.9, 5830.6, 5847.5, 5863.9, 5879.9, 5896.9, 5913.3, 5930.1, 5946.7, 5963.3, 5980.5, 5997.4, 6014.1, 6030.7, 6047.1, 6063.8, 6080.7, 6097.4, 6114.2, 6130.1, 6147.3, 6163.9, 6180.6, 6197.4, 6213.9, 6230, 6246.4, 6263, 6279.9, 6296.7, 6313.3, 6330, 6346.8, 6363.3, 6380.4, 6397, 6413.8, 6430.7, 6447.2, 6463.6, 6480.6, 6497.3, 6513.6, 6530.5, 6547.3, 6563.6, 6580, 6597, 6613.8, 6630.3, 6647.3, 6663.9, 6680.5, 6696.8, 6713.4, 6730.4, 6746.8, 6763.6, 6780.7, 6797.3, 6813.7, 6829.4, 6846.4, 6863.1, 6879.6, 6896.6, 6913.3, 6929.4, 6946.3, 6963.2, 6980, 6996.8, 7013.7, 7030.3, 7046.8, 7063.2, 7080.2, 7097, 7114.1, 7129.3, 7146.3, 7163.3, 7180, 7196.6, 7213.1, 7230.3, 7246.6, 7263.2, 7279.9, 7296.8, 7313.4, 7330, 7346.8, 7363.6, 7380.1, 7396.7, 7413.3, 7430.2, 7446.6, 7462.7, 7479.6, 7497, 7513.4, 7530.2, 7546.1, 7563, 7579.4, 7596.6, 7613.5, 7630, 7646.8, 7663.2, 7679.9, 7696.6, 7713.3, 7730, 7746.3, 7763.3, 7780.1, 7796.8, 7813.4, 7829.9, 7846.6, 7863.2, 7879.5, 7896.4, 7912.7, 7929.8, 7946.7, 7963, 7979.9, 7996.5, 8013.2, 8030.2, 8046.3, 8062.9, 8079.6, 8096.3, 8113.3, 8129.3, 8146, 8162.9, 8179.9, 8196.4, 8213, 8229.6, 8246.5, 8263, 8279.8, 8296.4, 8312.9, 8329.4, 8346, 8362.5, 8379.2, 8396, 8412.8, 8429.9, 8445.9, 8463, 8478.7, 8495.7, 8512.4, 8529.5, 8545.8, 8562, 8579.3, 8595.9, 8612.5, 8629.2, 8646.1]","[2.9, 1.9, 16.1, 16.7, 16.4, 17, 16.7, 16.6, 16.8, 16.9, 16.8, 16.4, 16.7, 16, 16.7, 16.7, 16.6, 16.7, 17, 16.5, 16.7, 16.7, 16.8, 16.7, 17, 16.3, 16.9, 16.9, 15.9, 16.7, 16.6, 16.8, 17.1, 16.5, 16.5, 17, 16.8, 16.2, 16.9, 16.5, 16.4, 17.3, 16.5, 16.3, 17.2, 16.8, 15.8, 16.8, 17, 16.4, 17, 16.3, 16.6, 16.9, 16.4, 16.9, 16.8, 16.7, 16.2, 17.1, 16.5, 16.3, 17.2, 16.1, 16.8, 16.6, 16.8, 16.3, 16.5, 16.7, 16.5, 17.1, 16.5, 16.6, 17, 16.8, 16.5, 16.6, 16.8, 16.6, 16.8, 16.6, 16.6, 17, 16.6, 16.5, 16.8, 17.1, 15.4, 17.5, 16.2, 16.7, 16.7, 17, 16.4, 16.9, 16.5, 16.8, 16.5, 16.2, 16.5, 17, 17, 16.6, 16.7, 16.4, 17, 16.6, 16.7, 16.8, 16.2, 17.1, 16.2, 16.8, 16.9, 16.4, 16.5, 17, 16.6, 16.8, 16.7, 16.5, 16.6, 16.5, 16.5, 16.9, 17, 16.5, 16.9, 16.2, 16.7, 16.9, 16.4, 16, 17, 16.4, 16.8, 16.6, 16.6, 17.2, 16.9, 16.7, 16.6, 16.4, 16.7, 16.9, 16.7, 16.8, 15.9, 17.2, 16.6, 16.7, 16.8, 16.5, 16.1, 16.4, 16.6, 16.9, 16.8, 16.6, 16.7, 16.8, 16.5, 17.1, 16.6, 16.8, 16.9, 16.5, 16.4, 17, 16.7, 16.3, 16.9, 16.8, 16.3, 16.4, 17, 16.8, 16.5, 17, 16.6, 16.6, 16.3, 16.6, 17, 16.4, 16.8, 17.1, 16.6, 16.4, 15.7, 17, 16.7, 16.5, 17, 16.7, 16.1, 16.9, 16.9, 16.8, 16.8, 16.9, 16.6, 16.5, 16.4, 17, 16.8, 17.1, 15.2, 17, 17, 16.7, 16.6, 16.5, 17.2, 16.3, 16.6, 16.7, 16.9, 16.6, 16.6, 16.8, 16.8, 16.5, 16.6, 16.6, 16.9, 16.4, 16.1, 16.9, 17.4, 16.4, 16.8, 15.9, 16.9, 16.4, 17.2, 16.9, 16.5, 16.8, 16.4, 16.7, 16.7, 16.7, 16.7, 16.3, 17, 16.8, 16.7, 16.6, 16.5, 16.7, 16.6, 16.3, 16.9, 16.3, 17.1, 16.9, 16.3, 16.9, 16.6, 16.7, 17, 16.1, 16.6, 16.7, 16.7, 17, 16, 16.7, 16.9, 17, 16.5, 16.6, 16.6, 16.9, 16.5, 16.8, 16.6, 16.5, 16.5, 16.6, 16.5, 16.7, 16.8, 16.8, 17.1, 16, 17.1, 15.7, 17, 16.7, 17.1, 16.3, 16.2, 17.3, 16.6, 16.6, 16.7, 16.9]",60.0,59.0,60.0,4985.0,[],,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0080,2022-11-30 18:03:57
,wl-html-keyboard-response,2,40273,0.0-2.0-0.0,0.0,3.0,,,,,,,,30690.70000000298,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0080,2022-11-30 18:03:57
,wl-rdm,3,47648,0.0-3.0-0.0,0.0,4.0,,,,,,,[],,,,0.0,0.0,87.9,0.0,u,0.0,True,1754.0999999940395,106.0,60.0,40.0,False,,3000.0,[],"[640, 360]",ColorTask_Demo,,,,,HRV,HRV_0080,2022-11-30 18:03:57
,wl-rdm,4,53660,0.0-3.0-1.0,0.0,5.0,,,,,,,[],,,,0.0,0.0,87.9,1.0,i,1.0,True,1920.699999988079,116.0,60.0,40.0,False,,2000.0,[],"[640, 360]",ColorTask_Demo,,,,,HRV,HRV_0080,2022-11-30 18:03:57
,wl-html-keyboard-response,5,59537,0.0-3.0-2.0,0.0,6.0,,,,,,,,3869.2000000029802,0.0,1,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0080,2022-11-30 18:03:57
,wl-html-keyboard-response,6,70736,0.0-4.0-0.0,0.0,7.0,,,,,,,,9188.09999999404,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0080,2022-11-30 18:03:57
,wl-html-keyboard-response,7,80793,0.0-5.0-0.0,0.0,8.0,,,,,,,,8045.70000000298,0.0,0,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0080,2022-11-30 18:03:57
,wl-rdm,8,83633,0.0-6.0-0.0,0.0,9.0,,,,,,,[],,,,,,56.4,1.0,i,1.0,True,1362.5000000149012,82.0,60.0,40.0,False,,393.0958389909289,[],"[640, 360]",ColorTask,1.0,1.0,,,HRV,HRV_0080,2022-11-30 18:03:57
,wl-rdm,9,85865,0.0-6.1-0.1,0.0,10.0,,,,,,,[],,,,,,87.9,0.0,u,0.0,True,935.7000000178814,57.0,60.0,40.0,False,,209.99244818993353,[],"[640, 360]",ColorTask,2.0,2.0,,,HRV,HRV_0080,2022-11-30 18:03:57
