trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rsp,rt,rt_UNIX,receivedResponse,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,rt_perfnow,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'burger', 'src': '/static/foodstim60/burger.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 5525.5, 'positionName': 'LEFT', 'positionCoords': [205.4, 155.5], 'bid': 9.65}, {'imgObject': {}, 'id': 'veggieswithdip', 'src': '/static/foodstim60/veggieswithdip.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 5670.599999964237, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155.5], 'bid': 9.71}]",7229.5,1669829779539,burger,veggieswithdip,9.65,9.71,0.0600000000000005,NaN,NaN,NaN,NaN,False,11251.5,4022.0,1669829783561,4022,,HRV,HRV_0088,2022-11-30 17:42:13
1,"[{'imgObject': {}, 'id': 'fried eggs', 'src': '/static/foodstim60/fried eggs.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 5689.899999976158, 'positionName': 'LEFT', 'positionCoords': [204.4, 155], 'bid': 1.5}, {'imgObject': {}, 'id': 'froot loops w milk', 'src': '/static/foodstim60/froot loops w milk.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 5820.899999976158, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155], 'bid': 0.42}]",11252.399999976158,1669829783562,fried eggs,froot loops w milk,1.5,0.42,-1.08,froot loops w milk,i,1236,1236,True,13001.299999952316,1748.8999999761581,1669829785311,1749,1236.6000000238419,HRV,HRV_0088,2022-11-30 17:42:13
2,"[{'imgObject': {}, 'id': 'corn cob', 'src': '/static/foodstim60/corn cob.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 5964.899999976158, 'positionName': 'LEFT', 'positionCoords': [203.4, 154.5], 'bid': 9.53}, {'imgObject': {}, 'id': 'raspberries', 'src': '/static/foodstim60/raspberries.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 5967.5, 'positionName': 'RIGHT', 'positionCoords': [665.6, 154.5], 'bid': 9.85}]",13001.799999952316,1669829785311,corn cob,raspberries,9.53,9.85,0.3200000000000003,raspberries,i,2997.800000011921,2998,True,16514.899999976158,3513.100000023842,1669829788824,3513,2998.5,HRV,HRV_0088,2022-11-30 17:42:13
3,"[{'imgObject': {}, 'id': 'bagel and cc', 'src': '/static/foodstim60/bagel and cc.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 6017.699999988079, 'positionName': 'LEFT', 'positionCoords': [204.4, 155], 'bid': 10}, {'imgObject': {}, 'id': 'burrito', 'src': '/static/foodstim60/burrito.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 6096.399999976158, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155], 'bid': 7.51}]",16516.19999998808,1669829788825,bagel and cc,burrito,10.0,7.51,-2.49,bagel and cc,u,1477,1478,True,18502.0,1985.800000011921,1669829790811,1986,1477.800000011921,HRV,HRV_0088,2022-11-30 17:42:13
4,"[{'imgObject': {}, 'id': 'salmon', 'src': '/static/foodstim60/salmon.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 6139.5, 'positionName': 'LEFT', 'positionCoords': [204.4, 155.5], 'bid': 9.9}, {'imgObject': {}, 'id': 'bagel and cc', 'src': '/static/foodstim60/bagel and cc.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 6017.199999988079, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155], 'bid': 10}]",18502.399999976158,1669829790812,salmon,bagel and cc,9.9,10.0,0.09999999999999964,salmon,u,1012.8999999761581,1013,True,20035.0,1532.6000000238419,1669829792344,1532,1013.5,HRV,HRV_0088,2022-11-30 17:42:13
5,"[{'imgObject': {}, 'id': 'salad w chicken', 'src': '/static/foodstim60/salad w chicken.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 6146.599999964237, 'positionName': 'LEFT', 'positionCoords': [203.4, 154.5], 'bid': 5.59}, {'imgObject': {}, 'id': 'cheerios', 'src': '/static/foodstim60/cheerios.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 6240.399999976158, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155], 'bid': 1.12}]",20035.69999998808,1669829792345,salad w chicken,cheerios,5.59,1.12,-4.47,salad w chicken,u,1195,1196,True,21735.19999998808,1699.5,1669829794045,1700,1195.699999988079,HRV,HRV_0088,2022-11-30 17:42:13
6,"[{'imgObject': {}, 'id': 'blueberries', 'src': '/static/foodstim60/blueberries.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 6246.5, 'positionName': 'LEFT', 'positionCoords': [203.4, 154.5], 'bid': 8.34}, {'imgObject': {}, 'id': 'turkey sandwich', 'src': '/static/foodstim60/turkey sandwich.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 6305.5, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155.5], 'bid': 9.89}]",21736.099999964237,1669829794046,blueberries,turkey sandwich,8.34,9.89,1.5500000000000007,turkey sandwich,i,939.1000000238419,939,True,23192.69999998808,1456.6000000238419,1669829795502,1456,940.0,HRV,HRV_0088,2022-11-30 17:42:13
7,"[{'imgObject': {}, 'id': 'orange slices', 'src': '/static/foodstim60/orange slices.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 6396, 'positionName': 'LEFT', 'positionCoords': [205.4, 155], 'bid': 3.93}, {'imgObject': {}, 'id': 'Grapes', 'src': '/static/foodstim60/Grapes.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 6403.599999964237, 'positionName': 'RIGHT', 'positionCoords': [665.6, 154.5], 'bid': 3.62}]",23193.399999976158,1669829795503,orange slices,Grapes,3.93,3.62,-0.31000000000000005,Grapes,i,1373.199999988079,1374,True,25078.799999952316,1885.3999999761581,1669829797388,1885,1374.1000000238419,HRV,HRV_0088,2022-11-30 17:42:13
8,"[{'imgObject': {}, 'id': 'eggs', 'src': '/static/foodstim60/eggs.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 6465, 'positionName': 'LEFT', 'positionCoords': [205.4, 155.5], 'bid': 6.73}, {'imgObject': {}, 'id': 'roastedpotatoes', 'src': '/static/foodstim60/roastedpotatoes.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 6471.899999976158, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155], 'bid': 6.21}]",25079.799999952316,1669829797389,eggs,roastedpotatoes,6.73,6.21,-0.5200000000000005,eggs,u,2134.300000011921,2135,True,27718.5,2638.7000000476837,1669829800028,2639,2134.900000035763,HRV,HRV_0088,2022-11-30 17:42:13
9,"[{'imgObject': {}, 'id': 'seaweed', 'src': '/static/foodstim60/seaweed.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 6532.599999964237, 'positionName': 'LEFT', 'positionCoords': [204.4, 155], 'bid': 0}, {'imgObject': {}, 'id': 'pear', 'src': '/static/foodstim60/pear.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 6611.699999988079, 'positionName': 'RIGHT', 'positionCoords': [665.6, 155], 'bid': 0.1}]",27719.299999952316,1669829800029,seaweed,pear,0.0,0.1,0.1,pear,i,2357,2357,True,30591.599999964237,2872.300000011921,1669829802901,2872,2357.600000023842,HRV,HRV_0088,2022-11-30 17:42:13
