Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
Jamaica Bay,2,"What lagoon south of Queens, New York, is named for a local Indian tribe and has nothing to do Caribbean?",226,1.889,0,6070.600000023842,p,K,2880.399999976158,11349.899999976158,,,,,HRV,HRV_0114,2022-11-30 18:18:22
New York,3,Which state has the zip code 12345?,354,0.568,1,11349.899999976158,p,K,2385.2000000476837,14813.899999976158,,,,,HRV,HRV_0114,2022-11-30 18:18:22
"Puffer fish, if they are prepared incorrectly thheir poison could kill the eater. ",5,Cooking which food requires over two years of training?,461,1.334,2,14813.899999976158,t,W,6328.800000011921,32173.69999998808,23654.0,27663.0,,,HRV,HRV_0114,2022-11-30 18:18:22
The budgerigar,1,"What pet bird takes its name from Australian Aborigine words for ""good eating""?",244,1.975,3,32173.69999998808,p,K,2513.0,37165.80000001192,,,,,HRV,HRV_0114,2022-11-30 18:18:22
chickpeas,3,What is used to make hummus?,424,0.858,4,37165.80000001192,p,K,2952.800000011921,41486.10000002384,,,,,HRV,HRV_0114,2022-11-30 18:18:22
George H.W. Bush ,4,"Who said: ""I'm the president of the United States and I'm not going to eat any more broccoli""? ",415,1.668,5,41486.10000002384,p,K,2760.7999999523163,46420.60000002384,,,,,HRV,HRV_0114,2022-11-30 18:18:22
Pearl Harbor ,3,What late-breaking news story kicked Dumbo off the cover of Time magazine six weeks after the elephant cartoon's release?,227,1.151,6,46420.69999998808,p,K,5298.300000011921,53381.5,,,,,HRV,HRV_0114,2022-11-30 18:18:22
Montenegro,6,What European country is named for the dark-looking Dinaric Alps? ,173,0.968,7,53381.5,q,S,5097.399999976158,59958.10000002384,,,,,HRV,HRV_0114,2022-11-30 18:18:22
Honey,5,"What food, still edible, was found by archaeologists in the tombs of Egyptian pharaohs? ",402,1.612,8,59958.10000002384,t,W,7897.599999964237,77764.80000001192,70365.30000001192,74375.0,3,1272.1000000238419,HRV,HRV_0114,2022-11-30 18:18:22
Cayenne pepper ,3,What spice is named for the capital of French Guiana? ,409,0.736,9,77764.89999997616,p,K,2322.100000023842,81333.19999998808,,,,,HRV,HRV_0114,2022-11-30 18:18:22
Japan ,1,What nation is home to the only tunnel in the world longer than the Chunnel?  ,236,0.911,10,81333.19999998808,p,K,3473.600000023842,86229.60000002384,,,,,HRV,HRV_0114,2022-11-30 18:18:22
Tuesday,3,Greeks consider which day of the week the unluckiest because it is the day that Constantinople fell in 1453? ,43,1.711,11,86229.60000002384,p,K,3321.199999988079,91766.0,,,,,HRV,HRV_0114,2022-11-30 18:18:22
