Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,C_TrialEnd,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
Abraham Lincoln ,6,"What president has three ""A's"" in his first name, each of which has a different sound? ",246,0.601,0,4448.599999904633,"[{'event': 'fullscreenchange', 'details': 'fullscreenexit', 'performance time': 6456.5, 'date time': 1669830478899}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 7156.5, 'date time': 1669830479599}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 7157.799999952316, 'date time': 1669830479601}]",15519.299999952316,,,,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Dark Side of the Moon,4,What album spent a record 741 weeks on Billboard's Top 200 Albums chart? ,129,0.929,1,15519.400000095367,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 19272.900000095367, 'date time': 1669830491716}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 19273, 'date time': 1669830491716}]",23393.299999952316,p,K,6427.399999856949,,,,,HRV,HRV_0115,2022-11-30 17:58:04
The Commodore 64 ,2,What 1982 successor to the VIC-20 is still the bestselling computer model of all time?,124,0.733,2,23393.400000095367,,27136.0,q,S,2486.0,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Jose Castro ,6,"What Mexican general, who governed California for four months in 1835, would probably be surprised by how he's remembered in San Francisco today?",231,1.275,3,27136.099999904633,,30958.799999952316,q,S,2034.5,,,,,HRV,HRV_0115,2022-11-30 17:58:04
The Netherlands,6,In 1568 the Catholic Church sentenced the entire population of which nation to death as heretics?,47,1.871,4,30958.799999952316,,34863.799999952316,q,S,1526.9000000953674,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Tim McGraw,6,"At age 11, who accidentally discovered the true identity of his baseball pitcher father while searching his mother's closet for hidden Christmas presents? ",24,1.171,5,34863.90000009537,,47742.700000047684,t,W,2801.2999999523163,40186.90000009537,44264.0,4,1757.2000000476837,HRV,HRV_0115,2022-11-30 17:58:04
Yahoo!,1,What Internet portal was sued for copyright infringement in 2000 by the star of Young Einstein? ,190,1.57,6,47742.799999952316,,60325.5,t,W,2890.2999999523163,53152.799999952316,57161.0,5,1045.9000000953674,HRV,HRV_0115,2022-11-30 17:58:04
Apple sauce,5,What was the first food eaten in space?,435,0.77,7,60325.59999990463,,64226.700000047684,q,S,2619.300000190735,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Charles ,4,What river runs through Boston? ,252,0.609,8,64226.700000047684,,75364.59999990463,t,W,2280.0,69034.70000004768,73048.09999990463,5,1171.9000000953674,HRV,HRV_0115,2022-11-30 17:58:04
North Korea,7,"Until 2007, what was the only country in the world not to have registered it's on internet domain suffix, "".kp""?",120,1.124,9,75364.70000004768,,78968.20000004768,p,K,1932.5,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Every jar of peanut butter must be at least 90% peanuts,3,What percentage of peanuts is found in a standard jar of peanut butter?,423,1.026,10,78968.29999995232,,82258.09999990463,p,K,1742.5,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Luxor,2,A causeway lined with hundreds of sphinxes once connected Karnak to what other great Egyptian temple?,8,0.901,11,82258.20000004768,,93103.5,t,W,1776.2999999523163,86561.0,90571.59999990463,3,1113.5,HRV,HRV_0115,2022-11-30 17:58:04
Haricot beans,7,Baked beans are made from what type of bean?,443,1.991,12,93103.5,,105032.79999995232,t,W,1970.4000000953674,97595.40000009537,101612.79999995232,4,911.5,HRV,HRV_0115,2022-11-30 17:58:04
General Electric ,1,What's the only stock from the original Dow Jones Industrial Average that's still used in computing the index?,310,1.833,13,105032.79999995232,,109253.40000009537,p,K,1853.2000000476837,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Antawn Jamison ,6,What Washington Wizards All-Star still bears the misplaced w in his name from a birth certificate typo?,295,1.637,14,109253.70000004768,,113011.29999995232,q,S,1610.2000000476837,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Gary Busey,3,What actor campaigned against helmet laws until he was almost killed in a helmetless 1988 motorcycle accident?,127,1.487,15,113011.29999995232,,116784.29999995232,p,K,1767.0,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Coca-Cola,6,"The BBC once banned the Beatles' ""Come Together"" for ""advertising"" what product in the lyrics?",93,1.153,16,116784.40000009537,,127736.79999995232,t,W,1814.8999998569489,121112.59999990463,125138.0,4,933.7000000476837,HRV,HRV_0115,2022-11-30 17:58:04
A soccer ball,7,What common item is usually made up of twelve pentagons and twenty hexagons?,154,1.372,17,127736.79999995232,,131496.40000009537,p,K,1869.5,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Japan ,4,What nation is home to the only tunnel in the world longer than the Chunnel?  ,236,1.807,18,131496.5,,135706.59999990463,p,K,1882.0,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Joan of Arc's ,6,"Whose remains were thrown in the Seine River on May 30, 1431? ",389,0.926,19,135706.70000004768,,139004.09999990463,q,S,1844.0,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Gabriele Falloppio ,5,What Italian physician was the first to describe the way the ovaries connect to the uterus in humans?,217,0.864,20,139004.09999990463,,142057.40000009537,q,S,1656.6000001430511,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Marven (Marvin) Gardens,3,"What Margate City, NJ, housing area has been misspelled on the Monopoly board for almost 80 years?",229,0.651,21,142057.5,,152592.59999990463,t,W,1661.2999999523163,146254.5,150264.20000004768,4,1149.0,HRV,HRV_0115,2022-11-30 17:58:04
Anaconda,7,Which species of snake gives birth to its young instead of laying eggs?  ,353,1.248,22,152592.59999990463,,155892.20000004768,p,K,1534.4000000953674,,,,,HRV,HRV_0115,2022-11-30 17:58:04
at least 97%,3,How much caffeine needs to be taken out of coffee for it to be described as decaffeinated?,427,1.903,23,155892.29999995232,,167527.79999995232,t,W,1687.4000000953674,160130.09999990463,164150.5,3,937.0999999046326,HRV,HRV_0115,2022-11-30 17:58:04
Woodrow Wilson ,6,"Which U.S. president declared the first national ""Mother's Day""?  ",355,0.543,24,167527.79999995232,,170286.20000004768,q,S,1676.4000000953674,,,,,HRV,HRV_0115,2022-11-30 17:58:04
