Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,C_TrialEnd,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,exp,subjectId,date
Jose Castro ,6,"What Mexican general, who governed California for four months in 1835, would probably be surprised by how he's remembered in San Francisco today?",231,1.437,0,3074.400000002235,12602.0,,,,,,HRV,HRV_0116,2022-11-30 18:28:13
The Missouri River ,7,"What forms the only part of the Kansas border, a seventy-five mile stretch, that's not drawn with a straight edge?",179,0.573,1,12602.10000000149,16149.60000000149,q,S,2443.699999999255,,,HRV,HRV_0116,2022-11-30 18:28:13
Paris,5,"What city is home to the world's very first pet cemetery, in which Rin Tin Tin is buried?",148,1.474,2,16149.800000000745,20346.0,p,K,2183.10000000149,,,HRV,HRV_0116,2022-11-30 18:28:13
Chuck E. Cheese's,6,What restaurant chain was the brainchild of Atari founder Nolan Bushnell? ,251,1.762,3,20346.20000000298,25167.5,q,S,2531.5,,,HRV,HRV_0116,2022-11-30 18:28:13
Pressure,7,What is measured in millibars? ,202,1.967,4,25167.60000000149,30361.70000000298,p,K,2700.300000000745,,,HRV,HRV_0116,2022-11-30 18:28:13
The Notorious BIG,1,"Who released only a single album during his lifetime, the ominously named Ready to Die? ",373,1.803,5,30361.800000000745,37296.60000000149,p,K,4593.5,,,HRV,HRV_0116,2022-11-30 18:28:13
Endeavour ,3,What is the name of the ship that carried Captain Cook to Australia?  ,208,1.338,6,37296.70000000298,50324.60000000149,t,W,1945.199999999255,41762.400000002235,45810.5,HRV,HRV_0116,2022-11-30 18:28:13
Let's spend some time together,5,"In 1967, what did The Ed Sullivan Show force the Rolling Stones to sing instead of the title of their song ""Let's Spend the Night Together""?",54,1.499,7,50324.800000000745,53979.60000000149,q,S,1626.1000000014901,,,HRV,HRV_0116,2022-11-30 18:28:13
Tears,3,"At 6-8 weeks, babies start producing what? ",23,1.689,8,53979.60000000149,61175.70000000298,q,S,4979.800000000745,,,HRV,HRV_0116,2022-11-30 18:28:13
Boston Tea Party,4,"The Dartmouth, the Eleanor,  and the Beaver were the three ships on which what famous event from American history occurred?",94,0.735,9,61176.300000000745,64328.300000000745,p,K,1895.0,,,HRV,HRV_0116,2022-11-30 18:28:13
Tobacco,1,"In 2005, Bhutan became the first country to entirely ban what?",57,1.469,10,64328.400000002235,69374.10000000149,q,S,3038.099999997765,,,HRV,HRV_0116,2022-11-30 18:28:13
Walt Disney,7,Which person has been awarded the most Oscars ever? ,349,1.798,11,69374.10000000149,74832.5,q,S,3119.800000000745,,,HRV,HRV_0116,2022-11-30 18:28:13
A jenny ,4,What is a female donkey called?,194,0.679,12,74832.60000000149,78538.80000000075,p,K,2500.89999999851,,,HRV,HRV_0116,2022-11-30 18:28:13
Zinfindel,4,"What grape, used to make a popular California wine, is called Primitivo in Europe?  ",403,1.514,13,78538.90000000224,83776.60000000149,p,K,3200.699999999255,,,HRV,HRV_0116,2022-11-30 18:28:13
Apple sauce,3,What was the first food eaten in space?,435,0.701,14,83776.60000000149,86875.60000000149,q,S,1860.300000000745,,,HRV,HRV_0116,2022-11-30 18:28:13
The crust and the mantle,4,"The ""Mohorovicic discontinuity"" divides what two outer layers of the earth?",87,1.564,15,86875.80000000075,91631.60000000149,q,S,2656.10000000149,,,HRV,HRV_0116,2022-11-30 18:28:13
Museum of Modern Art in NYC ,3,"Which museum hung Matisse's ""Le Bateau"" upsidedown for more than a month, until an art student noticed the error?",348,1.393,16,91631.60000000149,96406.80000000075,q,S,2851.800000000745,,,HRV,HRV_0116,2022-11-30 18:28:13
Espresso,7,The Italian government regulates the price of what beverage?,399,0.813,17,96407.0,100449.90000000224,p,K,2699.900000002235,,,HRV,HRV_0116,2022-11-30 18:28:13
Lolita by Vladimir Nabokov,6,"""Don't Stand So Close to Me"" by the Police was inspired by what literary work?",3,1.282,18,100450.0,104828.70000000298,q,S,2559.2000000029802,,,HRV,HRV_0116,2022-11-30 18:28:13
Eric the Red,1,"According to Norse sagas, who gave Greenland its misleading name in order to attract settlers? ",12,0.681,19,104828.80000000075,109276.80000000075,p,K,3228.5,,,HRV,HRV_0116,2022-11-30 18:28:13
The Ritz (Hotel),1,"F. Scott Fitzgerald wrote a famous short story about ""A Diamond as Big as"" what New York landmark?",39,1.247,20,109277.20000000298,113424.40000000224,q,S,2379.7999999970198,,,HRV,HRV_0116,2022-11-30 18:28:13
Adam,1,What did Coleco name its 1983 home computer in the hope that it would take a bit out of Apple's sales?,162,1.639,21,113424.5,118152.70000000298,p,K,2559.10000000149,,,HRV,HRV_0116,2022-11-30 18:28:13
Martin Luther King Jr. ,6,What civil rights leader did Dorothy Parker leave the bulk of her estate to?,149,0.569,22,118153.0,121911.40000000224,p,K,2646.900000002235,,,HRV,HRV_0116,2022-11-30 18:28:13
Sixteenth,1,Which Constitutional Amendment deals with the income tax? ,336,1.449,23,121911.5,126722.70000000298,q,S,2831.10000000149,,,HRV,HRV_0116,2022-11-30 18:28:13
Dragees,7,"What are the sugared almonds, traditionally thrown over the bride and groom at a wedding, called?",430,0.767,24,126723.30000000075,130592.10000000149,q,S,2570.300000000745,,,HRV,HRV_0116,2022-11-30 18:28:13
Germany,3,Which European country was the first to produce decaffeinated coffee? ,412,0.794,25,130592.10000000149,134291.90000000224,p,K,2390.199999999255,,,HRV,HRV_0116,2022-11-30 18:28:13
Cheetah,1,Which is the only cat that cannot retract its claws? ,344,1.707,26,134291.90000000224,140197.70000000298,q,S,3673.199999999255,,,HRV,HRV_0116,2022-11-30 18:28:13
Charles ,2,What river runs through Boston? ,252,1.999,27,140197.70000000298,145478.90000000224,p,K,2752.89999999851,,,HRV,HRV_0116,2022-11-30 18:28:13
A Hawaiian goose,1,What is a nene?,195,0.647,28,145479.0,148290.6000000015,p,K,1645.300000000745,,,HRV,HRV_0116,2022-11-30 18:28:13
Dorito is Spanish for little golden things,5,What does Dorito actually mean?,434,1.023,29,148291.1000000015,152878.40000000224,q,S,3047.10000000149,,,HRV,HRV_0116,2022-11-30 18:28:13
Sudan,2,"Though an eleven-year ceasefire held from 1972 to 1983, what African country has been embroiled in a civil war since 1955?",115,1.288,30,152878.5,158945.6000000015,q,S,4244.300000000745,,,HRV,HRV_0116,2022-11-30 18:28:13
Copperhead snake,3,Which poisonous snake smells like fresh cut cucumbers? ,350,1.673,31,158945.6000000015,163963.20000000298,p,K,2816.800000000745,,,HRV,HRV_0116,2022-11-30 18:28:13
Habanero,1,What chili pepper was believed the hottest in the world until the Naga Jolokia pepper was discovered in India in 2000?,401,0.796,32,163963.20000000298,168104.20000000298,q,S,2821.599999997765,,,HRV,HRV_0116,2022-11-30 18:28:13
Lightning strike,6,Carnivorous animals will not eat another animal that has been killed by what means?,29,1.406,33,168104.20000000298,173685.0,p,K,3648.599999997765,,,HRV,HRV_0116,2022-11-30 18:28:13
Blue,1,Lobster blood is what color?,73,0.759,34,173685.1000000015,176593.80000000075,p,K,1627.1000000014901,,,HRV,HRV_0116,2022-11-30 18:28:13
Patch Addams ,4,"What doctor, whose life was fictionalized in a 1998 film, founded the Gesundheit! Institute and named his oldest son ""Atomic Zagnut""?",166,1.105,35,176593.80000000075,179812.90000000224,p,K,1589.699999999255,,,HRV,HRV_0116,2022-11-30 18:28:13
Rooster,4,What animal is combined with a serpent to make the mythical creature the Cockatrice? ,268,1.913,36,179813.40000000224,185054.90000000224,q,S,2801.39999999851,,,HRV,HRV_0116,2022-11-30 18:28:13
Mars,3,Where did the Beagle 2 crash and disappear on Christmas Day 2003?  ,316,0.749,37,185055.0,188183.0,q,S,1854.0,,,HRV,HRV_0116,2022-11-30 18:28:13
Asparagus,1,what vegetable loses its flavour the quickest?,451,0.769,38,188183.1000000015,191498.30000000075,p,K,2022.800000000745,,,HRV,HRV_0116,2022-11-30 18:28:13
Kidnapping and killing the Lindbergh baby,2,For what crime was Bruno Hauptmann executed in 1936?,41,1.905,39,191498.90000000224,196064.0,q,S,2131.39999999851,,,HRV,HRV_0116,2022-11-30 18:28:13
Andy Kaufman,7,Who was banned from Saturday Night Live by viewer phone vote in 1982? ,376,0.68,40,196064.1000000015,198789.40000000224,p,K,1508.6000000014901,,,HRV,HRV_0116,2022-11-30 18:28:13
Captain Cook ,1,"Who christened Hawaii ""the Sandwich Islands"" in 1778?  ",363,0.852,41,198789.40000000224,201846.70000000298,p,K,1679.0,,,HRV,HRV_0116,2022-11-30 18:28:13
Capitol Hill,7,"Until 1790, what was known as Jenkins Hill? ",119,1.684,42,201846.80000000075,205840.20000000298,q,S,1781.199999999255,,,HRV,HRV_0116,2022-11-30 18:28:13
Molasses,2,"A two-million gallon tank of what substance exploded in Boston in 1919, resulting in 21 deaths?",10,0.686,43,205840.40000000224,208574.70000000298,p,K,1523.8999999985099,,,HRV,HRV_0116,2022-11-30 18:28:13
