trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rsp,rt,rt_UNIX,receivedResponse,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,trialEvents,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'steak', 'src': '/static/foodstim60/steak.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 4820, 'positionName': 'LEFT', 'positionCoords': [81.52, 179], 'bid': 4.88}, {'imgObject': {}, 'id': 'fried eggs', 'src': '/static/foodstim60/fried eggs.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 4912, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 5.15}]",6412,1669831107171,steak,fried eggs,4.88,5.15,0.27000000000000046,NaN,NaN,NaN,NaN,False,10425,4013,1669831111184,4013,,HRV,HRV_0126,2022-11-30 18:11:05
1,"[{'imgObject': {}, 'id': 'seaweed', 'src': '/static/foodstim60/seaweed.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 4947, 'positionName': 'LEFT', 'positionCoords': [81.52, 179], 'bid': 4.72}, {'imgObject': {}, 'id': 'steak', 'src': '/static/foodstim60/steak.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 4863, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 4.88}]",10425,1669831111184,seaweed,steak,4.72,4.88,0.16000000000000014,NaN,NaN,NaN,NaN,False,14439,4014,1669831115198,4014,,HRV,HRV_0126,2022-11-30 18:11:05
2,"[{'imgObject': {}, 'id': 'popsicles', 'src': '/static/foodstim60/popsicles.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 6395, 'positionName': 'LEFT', 'positionCoords': [81.52, 179], 'bid': 9.25}, {'imgObject': {}, 'id': 'cherry tomato', 'src': '/static/foodstim60/cherry tomato.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 4978, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 6.4}]",14439,1669831115198,popsicles,cherry tomato,9.25,6.4,-2.8499999999999996,NaN,NaN,NaN,NaN,False,18467,4028,1669831119226,4028,,HRV,HRV_0126,2022-11-30 18:11:05
3,"[{'imgObject': {}, 'id': 'granola w milk', 'src': '/static/foodstim60/granola w milk.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 5009, 'positionName': 'LEFT', 'positionCoords': [81.52, 179], 'bid': 6.62}, {'imgObject': {}, 'id': 'tacos', 'src': '/static/foodstim60/tacos.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 5009, 'positionName': 'RIGHT', 'positionCoords': [532.48, 178.5], 'bid': 8.08}]",18468,1669831119227,granola w milk,tacos,6.62,8.08,1.46,NaN,NaN,NaN,NaN,False,22502,4034,1669831123261,4034,,HRV,HRV_0126,2022-11-30 18:11:05
4,"[{'imgObject': {}, 'id': 'lox', 'src': '/static/foodstim60/lox.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 5046, 'positionName': 'LEFT', 'positionCoords': [81.52, 178.5], 'bid': 7.890000000000001}, {'imgObject': {}, 'id': 'Grapes', 'src': '/static/foodstim60/Grapes.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 5070, 'positionName': 'RIGHT', 'positionCoords': [532.48, 178.5], 'bid': 8.9}]",22502,1669831123261,lox,Grapes,7.890000000000001,8.9,1.0099999999999998,NaN,NaN,NaN,NaN,False,26528,4026,1669831127287,4026,,HRV,HRV_0126,2022-11-30 18:11:05
5,"[{'imgObject': {}, 'id': 'yogurt no spoon', 'src': '/static/foodstim60/yogurt no spoon.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 5096, 'positionName': 'LEFT', 'positionCoords': [80.52, 179], 'bid': 9.21}, {'imgObject': {}, 'id': 'luckycharms', 'src': '/static/foodstim60/luckycharms.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 5111, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179.5], 'bid': 8.41}]",26529,1669831127288,yogurt no spoon,luckycharms,9.21,8.41,-0.8000000000000007,NaN,NaN,NaN,NaN,False,30543,4014,1669831131302,4014,,HRV,HRV_0126,2022-11-30 18:11:05
6,"[{'imgObject': {}, 'id': 'shreddedwheatwithmilk', 'src': '/static/foodstim60/shreddedwheatwithmilk.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 5142, 'positionName': 'LEFT', 'positionCoords': [81.52, 179], 'bid': 5.87}, {'imgObject': {}, 'id': 'cherry tomato', 'src': '/static/foodstim60/cherry tomato.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 4978, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 6.4}]",30544,1669831131303,shreddedwheatwithmilk,cherry tomato,5.87,6.4,0.5300000000000002,NaN,NaN,NaN,NaN,False,34559,4015,1669831135318,4015,,HRV,HRV_0126,2022-11-30 18:11:05
7,"[{'imgObject': {}, 'id': 'bagel and cc', 'src': '/static/foodstim60/bagel and cc.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 5142, 'positionName': 'LEFT', 'positionCoords': [81.52, 179], 'bid': 1.85}, {'imgObject': {}, 'id': 'shreddedwheatwithmilk', 'src': '/static/foodstim60/shreddedwheatwithmilk.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 5127, 'positionName': 'RIGHT', 'positionCoords': [532.48, 179], 'bid': 5.87}]",34559,1669831135318,bagel and cc,shreddedwheatwithmilk,1.85,5.87,4.02,NaN,NaN,NaN,NaN,False,38592,4033,1669831139351,4033,,HRV,HRV_0126,2022-11-30 18:11:05
8,"[{'imgObject': {}, 'id': 'turkey sandwich', 'src': '/static/foodstim60/turkey sandwich.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 5205, 'positionName': 'LEFT', 'positionCoords': [82.52, 179.5], 'bid': 7.12}, {'imgObject': {}, 'id': 'rigatoni', 'src': '/static/foodstim60/rigatoni.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 5205, 'positionName': 'RIGHT', 'positionCoords': [532.48, 178.5], 'bid': 7.77}]",38592,1669831139351,turkey sandwich,rigatoni,7.12,7.77,0.6499999999999995,NaN,NaN,NaN,NaN,False,42620,4028,1669831143379,4028,,HRV,HRV_0126,2022-11-30 18:11:05
9,"[{'imgObject': {}, 'id': 'cocktailshrimp', 'src': '/static/foodstim60/cocktailshrimp.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 5236, 'positionName': 'LEFT', 'positionCoords': [81.52, 179], 'bid': 6.95}, {'imgObject': {}, 'id': 'lox', 'src': '/static/foodstim60/lox.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 5025, 'positionName': 'RIGHT', 'positionCoords': [532.48, 178.5], 'bid': 7.890000000000001}]",42621,1669831143380,cocktailshrimp,lox,6.95,7.890000000000001,0.9400000000000004,NaN,NaN,NaN,NaN,False,46653,4032,1669831147412,4032,,HRV,HRV_0126,2022-11-30 18:11:05
