trialN,stimuli,question,trialStartTime,trialStartTime_UNIX,stimulus1,rt,receivedResponse,rating,trialEndTime,trialDuration,stimulus1Loaded,trialEvents,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'lox', 'src': '/static/foodstim60/lox.jpg', 'key': 'NaN', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 0, 'loaded': True, 'loadedTime': 3972, 'positionName': 'CENTER', 'positionCoords': [307, 178.5]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,8831,1669830354176,lox,4500,True,7.24,13331,4500,True,,HRV,HRV_0126,2022-11-30 17:50:13
1,"[{'imgObject': {}, 'id': 'rigatoni and sauce', 'src': '/static/foodstim60/rigatoni and sauce.jpg', 'key': 'NaN', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 1, 'loaded': True, 'loadedTime': 4003, 'positionName': 'CENTER', 'positionCoords': [307, 178.5]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,13335,1669830358680,rigatoni and sauce,1955,True,8.18,15290,1955,True,,HRV,HRV_0126,2022-11-30 17:50:13
2,"[{'imgObject': {}, 'id': 'orange slices', 'src': '/static/foodstim60/orange slices.jpg', 'key': 'NaN', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 2, 'loaded': True, 'loadedTime': 3988, 'positionName': 'CENTER', 'positionCoords': [307.5, 179]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,15293,1669830360638,orange slices,2361,True,9.66,17654,2361,True,,HRV,HRV_0126,2022-11-30 17:50:13
3,"[{'imgObject': {}, 'id': 'mango', 'src': '/static/foodstim60/mango.jpg', 'key': 'NaN', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 3, 'loaded': True, 'loadedTime': 4410, 'positionName': 'CENTER', 'positionCoords': [306.5, 178.5]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,17670,1669830363015,mango,2402,True,9.47,20072,2402,True,,HRV,HRV_0126,2022-11-30 17:50:13
4,"[{'imgObject': {}, 'id': 'turkeysandwich', 'src': '/static/foodstim60/turkeysandwich.jpg', 'key': 'NaN', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 4, 'loaded': True, 'loadedTime': 4550, 'positionName': 'CENTER', 'positionCoords': [307.5, 179.5]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,20080,1669830365425,turkeysandwich,2564,True,8.14,22644,2564,True,,HRV,HRV_0126,2022-11-30 17:50:13
5,"[{'imgObject': {}, 'id': 'cherry tomato', 'src': '/static/foodstim60/cherry tomato.jpg', 'key': 'NaN', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 5, 'loaded': True, 'loadedTime': 4441, 'positionName': 'CENTER', 'positionCoords': [307, 179]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,22741,1669830368086,cherry tomato,3107,True,7.71,25848,3107,True,,HRV,HRV_0126,2022-11-30 17:50:13
6,"[{'imgObject': {}, 'id': 'pear', 'src': '/static/foodstim60/pear.jpg', 'key': 'NaN', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 6, 'loaded': True, 'loadedTime': 4824, 'positionName': 'CENTER', 'positionCoords': [306.5, 179]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,25851,1669830371196,pear,2415,True,9.72,28266,2415,True,,HRV,HRV_0126,2022-11-30 17:50:13
7,"[{'imgObject': {}, 'id': 'cocktailshrimp', 'src': '/static/foodstim60/cocktailshrimp.jpg', 'key': 'NaN', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 7, 'loaded': True, 'loadedTime': 5192, 'positionName': 'CENTER', 'positionCoords': [307, 179]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,28268,1669830373613,cocktailshrimp,1788,True,7.8500000000000005,30056,1788,True,,HRV,HRV_0126,2022-11-30 17:50:13
8,"[{'imgObject': {}, 'id': 'steak', 'src': '/static/foodstim60/steak.jpg', 'key': 'NaN', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 8, 'loaded': True, 'loadedTime': 5210, 'positionName': 'CENTER', 'positionCoords': [307, 179]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,30070,1669830375415,steak,2736,True,5.6000000000000005,32806,2736,True,,HRV,HRV_0126,2022-11-30 17:50:13
9,"[{'imgObject': {}, 'id': 'olives', 'src': '/static/foodstim60/olives.jpg', 'key': 'NaN', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 9, 'loaded': True, 'loadedTime': 5057, 'positionName': 'CENTER', 'positionCoords': [307, 179]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,32825,1669830378170,olives,2065,True,7.79,34890,2065,True,,HRV,HRV_0126,2022-11-30 17:50:13
