Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,trialEvents,exp,subjectId,date
Koala,4,"What animal, which eighteenth century settlers called a ""native bear"" has two opposable thumbs on each hand?",134,0.916,0,2223.9000000003725,t,W,6003.4000000003725,10751.0,14756.099999999627,5,2468.2000000011176,18661.200000001118,,HRV,HRV_0131,2022-11-30 17:54:32
Nutmeg,1,What slightly hallucinogenic spice did Malcolm X use to get high while in prison? ,407,0.878,1,18661.200000001118,t,W,4808.89999999851,25997.300000000745,30003.900000000373,5,3474.699999999255,34876.0,,HRV,HRV_0131,2022-11-30 17:54:32
Lava lamp ,5,What was first made by suspending paraffin in a solution of water and antifreeze? ,276,0.762,2,34876.0,t,W,6564.0,43968.09999999963,47970.20000000112,3,3466.0,52724.300000000745,,HRV,HRV_0131,2022-11-30 17:54:32
Giant squid,5,Which animal can have eyes that are a foot in diameter? ,324,1.854,3,52724.300000000745,t,W,4595.799999998882,59833.59999999963,63852.40000000037,4,737.6999999992549,66976.80000000075,,HRV,HRV_0131,2022-11-30 17:54:32
A red giant ,6,"What kind of enormous, cool star will our own sun become in five billion years? ",224,1.585,4,66976.80000000075,q,S,5355.0,,,,,74442.20000000112,,HRV,HRV_0131,2022-11-30 17:54:32
Betty Rubble,6,Which core Flintstones cast member was absent from Flintstone vitamins until 1996? ,337,1.747,5,74442.30000000075,q,S,5095.699999999255,,,,,81817.90000000037,,HRV,HRV_0131,2022-11-30 17:54:32
Giant squid,5,What is the largest creature without a backbone? ,203,0.832,6,81817.90000000037,t,W,5800.0999999996275,90141.20000000112,94155.09999999963,5,2338.9000000003725,97862.30000000075,,HRV,HRV_0131,2022-11-30 17:54:32
Copperhead snake,4,Which poisonous snake smells like fresh cut cucumbers? ,350,1.111,7,97862.30000000075,t,W,6671.5,107066.5,111086.0,5,1927.9000000003725,114650.30000000075,,HRV,HRV_0131,2022-11-30 17:54:32
Radioactivity,1,What is measured in becquerels? ,201,1.42,8,114650.30000000075,q,S,4229.5,,,,,120814.5,,HRV,HRV_0131,2022-11-30 17:54:32
Asparagus,3,what vegetable loses its flavour the quickest?,451,1.838,9,120814.59999999963,t,W,4943.200000001118,128294.0,132310.40000000037,5,1695.4000000003725,136373.0,,HRV,HRV_0131,2022-11-30 17:54:32
Adobe,2,"What word for mud bricks comes to us from the ancient Egyptian word ""dbt""? ",298,1.872,10,136373.09999999963,q,S,4834.700000001118,,,,,143603.5,,HRV,HRV_0131,2022-11-30 17:54:32
Latex. This is known as the latex-fruit syndrome. ,4,Allergy to which material is associated with allergy to fruit such as papaya and banana? ,462,1.444,11,143603.59999999963,t,W,7142.0,153278.80000000075,157296.90000000037,5,1768.9000000003725,161033.5,,HRV,HRV_0131,2022-11-30 17:54:32
The barrel of a gun,5,"According to Chairman Mao, ""political power grows out of"" what?",11,1.028,12,161033.59999999963,,,,,,,,170558.0,,HRV,HRV_0131,2022-11-30 17:54:32
Gecko,5,What is the only type of lizard that has a voice? ,213,0.765,13,170558.0,t,W,4795.800000000745,177876.30000000075,181888.30000000075,5,1960.2999999988824,185143.30000000075,,HRV,HRV_0131,2022-11-30 17:54:32
Bacon,4,"In Britain, what kind of meat comes in rashers?",397,0.75,14,185143.30000000075,p,K,4174.199999999255,,,,,190588.30000000075,,HRV,HRV_0131,2022-11-30 17:54:32
Dorito is Spanish for little golden things,6,What does Dorito actually mean?,434,1.416,15,190588.30000000075,t,W,3092.199999999255,196208.09999999963,200212.20000000112,5,1646.699999999255,203798.70000000112,,HRV,HRV_0131,2022-11-30 17:54:32
Sweden,2,What nation's dyslexic king Carl XVI Gustaf misspelled his own name on the accession document that gave him the throne?,237,0.538,16,203798.70000000112,q,S,5869.799999998882,,,,,210743.09999999963,,HRV,HRV_0131,2022-11-30 17:54:32
cooking,6,"If you suffer from Mageirocophobia, what are you scared of?",438,0.639,17,210743.09999999963,t,W,4491.5,217766.30000000075,221782.5,5,1470.0,224418.09999999963,,HRV,HRV_0131,2022-11-30 17:54:32
Endeavour ,7,What is the name of the ship that carried Captain Cook to Australia?  ,208,1.87,18,224418.09999999963,q,S,3266.4000000003725,,,,,230088.0,,HRV,HRV_0131,2022-11-30 17:54:32
Criss-Cross ,5,What was the game of Scrabble originally called? ,286,1.129,19,230088.0,q,S,3206.7000000011176,,,,,234955.09999999963,,HRV,HRV_0131,2022-11-30 17:54:32
Czechoslovakia,4,Shirley Temple Black was the U.S. ambassador to what nation at the time of its 1989 revolution?,83,1.054,20,234955.20000000112,p,K,6685.5999999996275,,,,,243217.30000000075,,HRV,HRV_0131,2022-11-30 17:54:32
Gilbert Van Camp ,3,What Indianapolis grocer made his name by selling canned pork and beans to U.S. troops during the Civil War?,187,1.463,21,243217.30000000075,t,W,6677.0,252426.5,256445.20000000112,5,3159.199999999255,261597.80000000075,,HRV,HRV_0131,2022-11-30 17:54:32
