trialN,stimuli,question,trialStartTime,trialStartTime_UNIX,stimulus1,rt,receivedResponse,rating,trialEndTime,trialDuration,stimulus1Loaded,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'cherries', 'src': '/static/foodstim60/cherries.jpg', 'key': 'NaN', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 0, 'loaded': True, 'loadedTime': 3099.10000000149, 'positionName': 'CENTER', 'positionCoords': [493, 187]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,4201.800000000745,1669831038053,cherries,4796.39999999851,True,5.01,8998.199999999255,4796.39999999851,True,HRV,HRV_0133,2022-11-30 17:59:07
1,"[{'imgObject': {}, 'id': 'rigatoni and sauce', 'src': '/static/foodstim60/rigatoni and sauce.jpg', 'key': 'NaN', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 1, 'loaded': True, 'loadedTime': 3126.199999999255, 'positionName': 'CENTER', 'positionCoords': [493, 187]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,9000.400000002235,1669831042851,rigatoni and sauce,2053.89999999851,True,7.63,11054.300000000745,2053.89999999851,True,HRV,HRV_0133,2022-11-30 17:59:07
2,"[{'imgObject': {}, 'id': 'eggs', 'src': '/static/foodstim60/eggs.jpg', 'key': 'NaN', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 2, 'loaded': True, 'loadedTime': 3076.199999999255, 'positionName': 'CENTER', 'positionCoords': [493.5, 188]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,11055.0,1669831044906,eggs,2591.199999999255,True,2.86,13646.199999999255,2591.199999999255,True,HRV,HRV_0133,2022-11-30 17:59:07
3,"[{'imgObject': {}, 'id': 'granola w milk', 'src': '/static/foodstim60/granola w milk.jpg', 'key': 'NaN', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 3, 'loaded': True, 'loadedTime': 3074.900000002235, 'positionName': 'CENTER', 'positionCoords': [493, 187.5]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,13647.10000000149,1669831047498,granola w milk,1943.199999999255,True,2.17,15590.300000000745,1943.199999999255,True,HRV,HRV_0133,2022-11-30 17:59:07
4,"[{'imgObject': {}, 'id': 'hashbrowns', 'src': '/static/foodstim60/hashbrowns.jpg', 'key': 'NaN', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 4, 'loaded': True, 'loadedTime': 3134.800000000745, 'positionName': 'CENTER', 'positionCoords': [492.5, 187.5]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,15591.0,1669831049442,hashbrowns,1871.300000000745,True,4.46,17462.300000000745,1871.300000000745,True,HRV,HRV_0133,2022-11-30 17:59:07
5,"[{'imgObject': {}, 'id': 'sweetpotato', 'src': '/static/foodstim60/sweetpotato.jpg', 'key': 'NaN', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 5, 'loaded': True, 'loadedTime': 3095.199999999255, 'positionName': 'CENTER', 'positionCoords': [493, 187.5]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,17463.0,1669831051314,sweetpotato,3063.199999999255,True,9.16,20526.199999999255,3063.199999999255,True,HRV,HRV_0133,2022-11-30 17:59:07
6,"[{'imgObject': {}, 'id': 'banana', 'src': '/static/foodstim60/banana.jpg', 'key': 'NaN', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 6, 'loaded': True, 'loadedTime': 3193.300000000745, 'positionName': 'CENTER', 'positionCoords': [493, 187.5]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,20527.0,1669831054378,banana,1743.300000000745,True,9.84,22270.300000000745,1743.300000000745,True,HRV,HRV_0133,2022-11-30 17:59:07
7,"[{'imgObject': {}, 'id': 'tacos', 'src': '/static/foodstim60/tacos.jpg', 'key': 'NaN', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 7, 'loaded': True, 'loadedTime': 3340.300000000745, 'positionName': 'CENTER', 'positionCoords': [492.5, 187]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,22271.10000000149,1669831056122,tacos,1983.300000000745,True,5.2,24254.400000002235,1983.300000000745,True,HRV,HRV_0133,2022-11-30 17:59:07
8,"[{'imgObject': {}, 'id': 'corn cob', 'src': '/static/foodstim60/corn cob.jpg', 'key': 'NaN', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 8, 'loaded': True, 'loadedTime': 3187.300000000745, 'positionName': 'CENTER', 'positionCoords': [492.5, 187]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,24255.10000000149,1669831058106,corn cob,1551.199999999255,True,8.39,25806.300000000745,1551.199999999255,True,HRV,HRV_0133,2022-11-30 17:59:07
9,"[{'imgObject': {}, 'id': 'grilled chicken strips', 'src': '/static/foodstim60/grilled chicken strips.jpg', 'key': 'NaN', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 9, 'loaded': True, 'loadedTime': 3228.10000000149, 'positionName': 'CENTER', 'positionCoords': [493, 187]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,25807.10000000149,1669831059658,grilled chicken strips,2023.199999999255,True,9.19,27830.300000000745,2023.199999999255,True,HRV,HRV_0133,2022-11-30 17:59:07
