trialN,stimuli,question,trialStartTime,trialStartTime_UNIX,stimulus1,trialEvents,rt,receivedResponse,rating,trialEndTime,trialDuration,stimulus1Loaded,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'strawberries', 'src': '/static/foodstim60/strawberries.jpg', 'key': 'NaN', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 0, 'loaded': True, 'loadedTime': 2070.7000000029802, 'positionName': 'CENTER', 'positionCoords': [595, 245]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,2126.6000000089407,1669831153189,strawberries,"[{'event': 'fullscreenchange', 'details': 'fullscreenexit', 'performance time': 2170.800000011921, 'date time': 1669831153233}]",1823.5,True,7.86,3950.1000000089407,1823.5,True,HRV,HRV_0145,2022-11-30 18:00:47
1,"[{'imgObject': {}, 'id': 'bagel plain', 'src': '/static/foodstim60/bagel plain.jpg', 'key': 'NaN', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 1, 'loaded': True, 'loadedTime': 3953, 'positionName': 'CENTER', 'positionCoords': [595, 189.5]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,3951.300000011921,1669831155013,bagel plain,,1455.3999999910593,True,5.0,5406.70000000298,1455.3999999910593,True,HRV,HRV_0145,2022-11-30 18:00:47
2,"[{'imgObject': {}, 'id': 'turkey sandwich', 'src': '/static/foodstim60/turkey sandwich.jpg', 'key': 'NaN', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 2, 'loaded': True, 'loadedTime': 5410, 'positionName': 'CENTER', 'positionCoords': [595.5, 190]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,5407.600000008941,1669831156470,turkey sandwich,,1102.7000000029802,True,8.02,6510.300000011921,1102.7000000029802,True,HRV,HRV_0145,2022-11-30 18:00:47
3,"[{'imgObject': {}, 'id': 'popsicles', 'src': '/static/foodstim60/popsicles.jpg', 'key': 'NaN', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 3, 'loaded': True, 'loadedTime': 6513.600000008941, 'positionName': 'CENTER', 'positionCoords': [595, 189.5]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,6511.20000000298,1669831157573,popsicles,,911.6000000089407,True,6.5200000000000005,7422.800000011921,911.6000000089407,True,HRV,HRV_0145,2022-11-30 18:00:47
4,"[{'imgObject': {}, 'id': 'sushi w_condiments', 'src': '/static/foodstim60/sushi w_condiments.jpg', 'key': 'NaN', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 4, 'loaded': True, 'loadedTime': 7426.100000008941, 'positionName': 'CENTER', 'positionCoords': [595, 189.5]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,7423.70000000298,1669831158486,sushi w_condiments,,1494.5,True,0.0,8918.20000000298,1494.5,True,HRV,HRV_0145,2022-11-30 18:00:47
5,"[{'imgObject': {}, 'id': 'corn cob', 'src': '/static/foodstim60/corn cob.jpg', 'key': 'NaN', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 5, 'loaded': True, 'loadedTime': 8921.20000000298, 'positionName': 'CENTER', 'positionCoords': [594.5, 189]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,8919.300000011921,1669831159981,corn cob,,1463.5999999940395,True,4.67,10382.90000000596,1463.5999999940395,True,HRV,HRV_0145,2022-11-30 18:00:47
6,"[{'imgObject': {}, 'id': 'olives', 'src': '/static/foodstim60/olives.jpg', 'key': 'NaN', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 6, 'loaded': True, 'loadedTime': 10385.800000011921, 'positionName': 'CENTER', 'positionCoords': [595, 189.5]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,10384.0,1669831161446,olives,,1414.4000000059605,True,0.07,11798.40000000596,1414.4000000059605,True,HRV,HRV_0145,2022-11-30 18:00:47
7,"[{'imgObject': {}, 'id': 'orange slices', 'src': '/static/foodstim60/orange slices.jpg', 'key': 'NaN', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 7, 'loaded': True, 'loadedTime': 11801.90000000596, 'positionName': 'CENTER', 'positionCoords': [595.5, 189.5]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,11799.5,1669831162862,orange slices,,1047.4000000059605,True,6.3500000000000005,12846.90000000596,1047.4000000059605,True,HRV,HRV_0145,2022-11-30 18:00:47
8,"[{'imgObject': {}, 'id': 'seaweed', 'src': '/static/foodstim60/seaweed.jpg', 'key': 'NaN', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 8, 'loaded': True, 'loadedTime': 12850.300000011921, 'positionName': 'CENTER', 'positionCoords': [595, 189.5]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,12847.800000011921,1669831163910,seaweed,,1622.5,True,0.0,14470.300000011921,1622.5,True,HRV,HRV_0145,2022-11-30 18:00:47
9,"[{'imgObject': {}, 'id': 'cantaloupe', 'src': '/static/foodstim60/cantaloupe.jpg', 'key': 'NaN', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.8, 'rescaleHeight': True, 'trialN': 9, 'loaded': True, 'loadedTime': 14473.90000000596, 'positionName': 'CENTER', 'positionCoords': [595.5, 190]}]",Rate how much you want to eat this food from 0 (least) to 10 (most).,14471.300000011921,1669831165533,cantaloupe,,1751.5,True,7.01,16222.800000011921,1751.5,True,HRV,HRV_0145,2022-11-30 18:00:47
