success,trial_type,trial_index,time_elapsed,internal_node_id,missTrial,missTrialMsg,Block,TrialNumber,TrialTime,trialTimeDiff,FPS_avg,FPS_med,FPS_mode,TrialDur,winResizeTime,rt,block,button_pressed,MotCoh,MotDir,ColCoh,Color,ChoiceKey,Choice,Accuracy,RT,nFrames,FPS,PPD,onsetDelay,fullScreenExitTime,canvCenter,TrialType,Score,BlockTrial,stimulus,button_labels,exp,subjectId,date
True,fullscreen,0,6683,0.0-0.0,True,undefinedblurEvent ,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-check-fps,1,11915,0.0-1.0,,,0.0,1.0,"[8484.8, 8500.5, 8539.6, 8565.4, 8587.9, 8600.6, 8602.8, 8614.9, 8630.1, 8647.7, 8664.8, 8680.4, 8697.5, 8714.7, 8730.6, 8747.5, 8763.5, 8780, 8797.1, 8813.9, 8830.7, 8847.7, 8863.4, 8880.3, 8897.9, 8913.5, 8930.1, 8947.7, 8963.6, 8980.6, 8997.6, 9015.9, 9031.6, 9048.1, 9064.3, 9081.1, 9097.9, 9113.6, 9130.8, 9149.6, 9163.4, 9182.6, 9198.3, 9213.6, 9230.5, 9249.1, 9265.8, 9280.6, 9297.3, 9314.6, 9330, 9347, 9363.6, 9380.2, 9397.4, 9415, 9430, 9449.5, 9463.2, 9479.8, 9498.8, 9513.1, 9532.7, 9546.4, 9564.3, 9582.2, 9600.3, 9613.4, 9630.2, 9648, 9662.9, 9681.8, 9697.2, 9723.7, 9733.6, 9748.9, 9766.4, 9782.4, 9809.7, 9815.2, 9832.2, 9848.8, 9898.5, 9899.9, 9914.3, 9931.7, 9950.6, 9964.8, 9981.5, 9998, 10030.5, 10048.2, 10064.5, 10081.7, 10098.5, 10114.1, 10131.4, 10148.7, 10164.3, 10181.6, 10198.6, 10214.7, 10250.4, 10265.6, 10281.3, 10297.9, 10314.6, 10331.2, 10348.4, 10364.4, 10381, 10398.5, 10415.4, 10432, 10448.7, 10464.4, 10481.5, 10498.3, 10514, 10531.1, 10548.7, 10564.9, 10580.8, 10597.7, 10614.8, 10633.1, 10663.6, 10682.8, 10699.3, 10714.6, 10732.6, 10749.9, 10765.3, 10782.5, 10799.3, 10814.9, 10831.8, 10849.3, 10864.3, 10882.1, 10899.2, 10915.6, 10933.6, 10950, 10965.9, 10982.1, 10999, 11015.3, 11032.7, 11048, 11065.4, 11080.7, 11099.2, 11114.6, 11131.6, 11148.4, 11165.2, 11181.8, 11199.2, 11214.7, 11231.4, 11248.1, 11267.8, 11282.4, 11299.1, 11315.4, 11331.8, 11349.2, 11365.4, 11382.2, 11398.9, 11415.2, 11431.8, 11467.7, 11480.8, 11498.4, 11514.1, 11531, 11547.5, 11564.1, 11580.9, 11597.5, 11614.1, 11630.6, 11647.5, 11663.8, 11681, 11697.9, 11714, 11732.5, 11748.7, 11764.1, 11781.1, 11797.6, 11813.9, 11831, 11847.5, 11864, 11880.6, 11897.6, 11913.8, 11931.3, 11947.3, 11963.8, 11980.6, 11997.2, 12014.1, 12030.5, 12049.1, 12067, 12084, 12097.9, 12113.4, 12130.4, 12149, 12165.4, 12183.1, 12197.5, 12213.4, 12230.3, 12249.5, 12267.9, 12287, 12297.2, 12313.2, 12331, 12347.4, 12365.3, 12382.3, 12399.3, 12415.5, 12432.8, 12449.3, 12465.1, 12481.7, 12499.5, 12515.5, 12532.9, 12547.2, 12563.4, 12580.1, 12598.7, 12615.2, 12632.5, 12646.5, 12663.2, 12683, 12696.4, 12714.3, 12729, 12752.5, 12781.5, 12797.2, 12812.8, 12830.2, 12846.2, 12863, 12879.8, 12896.5, 12912.9, 12930, 12946.3, 12962.6, 12979.4, 12996.3, 13029.2, 13046.6, 13062.9, 13079.7, 13096.2, 13112.5, 13129.4, 13145.9, 13162.5, 13179.7, 13195.9, 13212.7, 13229.7, 13245.8, 13263.1, 13279.5, 13296.9, 13313.2, 13329.5, 13345.9, 13363.1, 13379.6, 13396.2, 13412.2, 13429.9, 13446.4, 13462.6, 13479.4, 13496.5, 13512.8, 13529.5, 13546.3, 13562.4, 13579.3, 13596.7]","[94, 15.7, 39.1, 25.8, 22.5, 12.7, 2.2, 12.1, 15.2, 17.6, 17.1, 15.6, 17.1, 17.2, 15.9, 16.9, 16, 16.5, 17.1, 16.8, 16.8, 17, 15.7, 16.9, 17.6, 15.6, 16.6, 17.6, 15.9, 17, 17, 18.3, 15.7, 16.5, 16.2, 16.8, 16.8, 15.7, 17.2, 18.8, 13.8, 19.2, 15.7, 15.3, 16.9, 18.6, 16.7, 14.8, 16.7, 17.3, 15.4, 17, 16.6, 16.6, 17.2, 17.6, 15, 19.5, 13.7, 16.6, 19, 14.3, 19.6, 13.7, 17.9, 17.9, 18.1, 13.1, 16.8, 17.8, 14.9, 18.9, 15.4, 26.5, 9.9, 15.3, 17.5, 16, 27.3, 5.5, 17, 16.6, 49.7, 1.4, 14.4, 17.4, 18.9, 14.2, 16.7, 16.5, 32.5, 17.7, 16.3, 17.2, 16.8, 15.6, 17.3, 17.3, 15.6, 17.3, 17, 16.1, 35.7, 15.2, 15.7, 16.6, 16.7, 16.6, 17.2, 16, 16.6, 17.5, 16.9, 16.6, 16.7, 15.7, 17.1, 16.8, 15.7, 17.1, 17.6, 16.2, 15.9, 16.9, 17.1, 18.3, 30.5, 19.2, 16.5, 15.3, 18, 17.3, 15.4, 17.2, 16.8, 15.6, 16.9, 17.5, 15, 17.8, 17.1, 16.4, 18, 16.4, 15.9, 16.2, 16.9, 16.3, 17.4, 15.3, 17.4, 15.3, 18.5, 15.4, 17, 16.8, 16.8, 16.6, 17.4, 15.5, 16.7, 16.7, 19.7, 14.6, 16.7, 16.3, 16.4, 17.4, 16.2, 16.8, 16.7, 16.3, 16.6, 35.9, 13.1, 17.6, 15.7, 16.9, 16.5, 16.6, 16.8, 16.6, 16.6, 16.5, 16.9, 16.3, 17.2, 16.9, 16.1, 18.5, 16.2, 15.4, 17, 16.5, 16.3, 17.1, 16.5, 16.5, 16.6, 17, 16.2, 17.5, 16, 16.5, 16.8, 16.6, 16.9, 16.4, 18.6, 17.9, 17, 13.9, 15.5, 17, 18.6, 16.4, 17.7, 14.4, 15.9, 16.9, 19.2, 18.4, 19.1, 10.2, 16, 17.8, 16.4, 17.9, 17, 17, 16.2, 17.3, 16.5, 15.8, 16.6, 17.8, 16, 17.4, 14.3, 16.2, 16.7, 18.6, 16.5, 17.3, 14, 16.7, 19.8, 13.4, 17.9, 14.7, 23.5, 29, 15.7, 15.6, 17.4, 16, 16.8, 16.8, 16.7, 16.4, 17.1, 16.3, 16.3, 16.8, 16.9, 32.9, 17.4, 16.3, 16.8, 16.5, 16.3, 16.9, 16.5, 16.6, 17.2, 16.2, 16.8, 17, 16.1, 17.3, 16.4, 17.4, 16.3, 16.3, 16.4, 17.2, 16.5, 16.6, 16, 17.7, 16.5, 16.2, 16.8, 17.1, 16.3, 16.7, 16.8, 16.1, 16.9, 17.4]",58.0,61.0,60.0,5221.7,[],,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-html-keyboard-response,2,21706,0.0-2.0-0.0,,,0.0,2.0,,,,,,,,7752.299999952316,0.0,0,,,,,,,,,,,,,,,,,,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,3,28923,0.0-3.0-0.0,False,,0.0,3.0,,,,,,,[],,,,0.0,0.0,87.9,0.0,u,0.0,True,1524.2999999523163,92.0,60.0,40.0,3000.0,[],"[640, 512]",ColorTask_Demo,,,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,4,33970,0.0-3.0-1.0,False,,0.0,4.0,,,,,,,[],,,,0.0,0.0,87.9,1.0,i,1.0,True,955.3000000715256,58.0,60.0,40.0,2000.0,[],"[640, 512]",ColorTask_Demo,,,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-html-keyboard-response,5,39314,0.0-3.0-2.0,,,0.0,5.0,,,,,,,,3336.5,0.0,1,,,,,,,,,,,,,,,,,,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-html-keyboard-response,6,47306,0.0-4.0-0.0,,,0.0,6.0,,,,,,,,5985.699999928474,0.0,0,,,,,,,,,,,,,,,,,,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-html-keyboard-response,7,71796,0.0-5.0-0.0,,,0.0,7.0,,,,,,,,22482.5,0.0,0,,,,,,,,,,,,,,,,,,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,8,75310,0.0-6.0-0.0,False,,0.0,8.0,,,,,,,[],,,,,,73.6,0.0,u,0.0,True,2104.1999999284744,126.0,60.0,40.0,337.39021119857426,[],"[640, 512]",ColorTask,1.0,1.0,,,HRV,HRV_0153,2022-11-30 18:22:31
,wl-rdm,9,78024,0.0-6.1-0.1,False,,0.0,9.0,,,,,,,[],,,,,,73.6,0.0,u,0.0,True,1340.1999999284744,81.0,60.0,40.0,294.2864588856174,[],"[640, 512]",ColorTask,2.0,2.0,,,HRV,HRV_0153,2022-11-30 18:22:31
