trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rt,rt_UNIX,rt_perfnow,receivedResponse,rsp,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,trialEvents,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'kiwi', 'src': '/static/foodstim60/kiwi.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 2538.7000000476837, 'positionName': 'LEFT', 'positionCoords': [818.8, 515], 'bid': 4.98}, {'imgObject': {}, 'id': 'burger', 'src': '/static/foodstim60/burger.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 2564.8000000715256, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515.5], 'bid': 7.82}]",3172.0,1669831028681,kiwi,burger,4.98,7.82,2.84,burger,1585.2000000476837,1586,1585.6000000238419,True,i,5262.899999976158,2090.899999976158,1669831030772,2091,,HRV,HRV_0160,2022-11-30 18:02:19
1,"[{'imgObject': {}, 'id': 'turkeysandwich', 'src': '/static/foodstim60/turkeysandwich.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 2572.3000000715256, 'positionName': 'LEFT', 'positionCoords': [819.8, 515.5], 'bid': 5.5}, {'imgObject': {}, 'id': 'eggs', 'src': '/static/foodstim60/eggs.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 2574.399999976158, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515.5], 'bid': 0.8200000000000001}]",5263.0,1669831030772,turkeysandwich,eggs,5.5,0.8200000000000001,-4.68,turkeysandwich,1132.3000000715256,1133,1132.5,True,u,6908.100000023842,1645.1000000238419,1669831032417,1645,,HRV,HRV_0160,2022-11-30 18:02:19
2,"[{'imgObject': {}, 'id': 'rigatoni', 'src': '/static/foodstim60/rigatoni.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 2576, 'positionName': 'LEFT', 'positionCoords': [817.8, 514.5], 'bid': 0.45}, {'imgObject': {}, 'id': 'hotdog w must', 'src': '/static/foodstim60/hotdog w must.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 2577.7000000476837, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515.5], 'bid': 5.37}]",6908.200000047684,1669831032417,rigatoni,hotdog w must,0.45,5.37,4.92,hotdog w must,942.0,943,942.2999999523163,True,i,8369.200000047684,1461.0,1669831033878,1461,,HRV,HRV_0160,2022-11-30 18:02:19
3,"[{'imgObject': {}, 'id': 'hashbrowns', 'src': '/static/foodstim60/hashbrowns.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 2577.899999976158, 'positionName': 'LEFT', 'positionCoords': [817.8, 515], 'bid': 2.89}, {'imgObject': {}, 'id': 'cherry tomato', 'src': '/static/foodstim60/cherry tomato.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 2581, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515], 'bid': 4.92}]",8369.600000023842,1669831033879,hashbrowns,cherry tomato,2.89,4.92,2.03,hashbrowns,828.7000000476837,829,829.2000000476837,True,u,9705.200000047684,1335.6000000238419,1669831035214,1335,,HRV,HRV_0160,2022-11-30 18:02:19
4,"[{'imgObject': {}, 'id': 'salad w chicken', 'src': '/static/foodstim60/salad w chicken.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 2582.7000000476837, 'positionName': 'LEFT', 'positionCoords': [817.8, 514.5], 'bid': 7.85}, {'imgObject': {}, 'id': 'bagel plain', 'src': '/static/foodstim60/bagel plain.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 2585.100000023842, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515], 'bid': 7.92}]",9705.700000047684,1669831035215,salad w chicken,bagel plain,7.85,7.92,0.07000000000000028,salad w chicken,850.6000000238419,851,850.8999999761581,True,u,11069.300000071526,1363.6000000238419,1669831036578,1363,,HRV,HRV_0160,2022-11-30 18:02:19
5,"[{'imgObject': {}, 'id': 'sweetpotato', 'src': '/static/foodstim60/sweetpotato.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 2590.8000000715256, 'positionName': 'LEFT', 'positionCoords': [818.8, 515], 'bid': 0.22}, {'imgObject': {}, 'id': 'lox', 'src': '/static/foodstim60/lox.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 2544.3000000715256, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 514.5], 'bid': 1.17}]",11069.5,1669831036579,sweetpotato,lox,0.22,1.17,0.95,lox,931.0,931,931.2000000476837,True,i,12509.600000023842,1440.1000000238419,1669831038019,1440,,HRV,HRV_0160,2022-11-30 18:02:19
6,"[{'imgObject': {}, 'id': 'popsicles', 'src': '/static/foodstim60/popsicles.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 2692.100000023842, 'positionName': 'LEFT', 'positionCoords': [818.8, 515], 'bid': 0.91}, {'imgObject': {}, 'id': 'fried eggs', 'src': '/static/foodstim60/fried eggs.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 2546.399999976158, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515], 'bid': 2.66}]",12510.200000047684,1669831038019,popsicles,fried eggs,0.91,2.66,1.75,fried eggs,1038.0,1039,1038.5,True,i,14057.300000071526,1547.1000000238419,1669831039566,1547,,HRV,HRV_0160,2022-11-30 18:02:19
7,"[{'imgObject': {}, 'id': 'burrito', 'src': '/static/foodstim60/burrito.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 2558.3000000715256, 'positionName': 'LEFT', 'positionCoords': [818.8, 515], 'bid': 2.79}, {'imgObject': {}, 'id': 'bagel plain', 'src': '/static/foodstim60/bagel plain.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 2585.8000000715256, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515], 'bid': 7.92}]",14057.5,1669831039567,burrito,bagel plain,2.79,7.92,5.13,bagel plain,1044.8999999761581,1045,1045.3999999761581,True,i,15605.399999976158,1547.8999999761581,1669831041115,1548,,HRV,HRV_0160,2022-11-30 18:02:19
8,"[{'imgObject': {}, 'id': 'raisin bran w milk', 'src': '/static/foodstim60/raisin bran w milk.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 2608.5, 'positionName': 'LEFT', 'positionCoords': [817.8, 514.5], 'bid': 3.35}, {'imgObject': {}, 'id': 'cheerios', 'src': '/static/foodstim60/cheerios.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 2614.399999976158, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515], 'bid': 3.71}]",15605.600000023842,1669831041115,raisin bran w milk,cheerios,3.35,3.71,0.3599999999999999,raisin bran w milk,1021.3999999761581,1021,1021.7999999523163,True,u,17137.0,1531.3999999761581,1669831042646,1531,,HRV,HRV_0160,2022-11-30 18:02:19
9,"[{'imgObject': {}, 'id': 'banana', 'src': '/static/foodstim60/banana.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 2619.600000023842, 'positionName': 'LEFT', 'positionCoords': [818.8, 515], 'bid': 6.7}, {'imgObject': {}, 'id': 'shreddedwheatwithmilk', 'src': '/static/foodstim60/shreddedwheatwithmilk.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 2630.3000000715256, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515], 'bid': 6.640000000000001}]",17137.200000047684,1669831042646,banana,shreddedwheatwithmilk,6.7,6.640000000000001,-0.05999999999999961,banana,724.1999999284744,725,724.7999999523163,True,u,18377.700000047684,1240.5,1669831043887,1241,,HRV,HRV_0160,2022-11-30 18:02:19
