Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_TrialEnd,C_Worth,C_Worth_rt,trialEvents,exp,subjectId,date
The Ritz (Hotel),2,"F. Scott Fitzgerald wrote a famous short story about ""A Diamond as Big as"" what New York landmark?",39,1.54,0,3293,t,W,7562.0,13388.0,17412.0,21935,,,,HRV,HRV_0163,2022-11-30 18:17:20
Arkansas ,2,Where is the only active diamond mine in the U.S.?,320,1.514,1,21935,q,S,2076.0,,,26044,,,,HRV,HRV_0163,2022-11-30 18:17:20
Honey,3,"What food, still edible, was found by archaeologists in the tombs of Egyptian pharaohs? ",402,1.158,2,26044,p,K,4045.0,,,31775,,,,HRV,HRV_0163,2022-11-30 18:17:20
Liberia,1,"Before his ears were cut off in 1990 by a political rival, what nation was ruled by dictator Samuel Doe?",27,0.673,3,31775,q,S,2471.0,,,35497,,,,HRV,HRV_0163,2022-11-30 18:17:20
at least 97%,7,How much caffeine needs to be taken out of coffee for it to be described as decaffeinated?,427,1.473,4,35497,p,K,1779.0,,,39292,,,,HRV,HRV_0163,2022-11-30 18:17:20
Anaconda,3,Which species of snake gives birth to its young instead of laying eggs?  ,353,0.525,5,39292,t,W,2047.0,43855.0,47875.0,49765,4,836.0,,HRV,HRV_0163,2022-11-30 18:17:20
Spiro Agnew ,3,"What vice president referred to his critics as the ""nattering nabobs of negativism""? ",274,0.528,6,49765,t,W,2871.0,55162.0,59170.0,60967,3,749.0,,HRV,HRV_0163,2022-11-30 18:17:20
Martin Luther King Jr. ,5,Who won the Nobel Peace Prize in 1964? ,386,1.432,7,60967,p,K,2705.0,,,65635,,,,HRV,HRV_0163,2022-11-30 18:17:20
Smoke,1,"in 1908, New York City passed the Sullivan Ordinance which made it illegal for women to do what in public?",52,0.597,8,65635,q,S,1688.0,,,68462,,,,HRV,HRV_0163,2022-11-30 18:17:20
Tea leaves,7,Tasseomancy is a method of fortune telling that primarily uses what? ,418,1.254,9,68462,p,K,1643.0,,,71886,,,,HRV,HRV_0163,2022-11-30 18:17:20
popscicle,6,What food was invented by an 11 year old in 1905?,450,1.862,10,71886,t,W,3467.0,77900.0,81930.0,85743,4,1425.0,,HRV,HRV_0163,2022-11-30 18:17:20
Mars,7,Where did the Beagle 2 crash and disappear on Christmas Day 2003?  ,316,0.999,11,85743,t,W,2313.0,90573.0,94591.0,96796,4,669.0,,HRV,HRV_0163,2022-11-30 18:17:20
Sic semper tyrannis ,6,What state motto of Virginia did John Wilkes Booth shout as he jumped from Lincoln's box to the stage of Ford's Theatre? ,262,0.796,12,96796,t,W,4666.0,103992.0,108010.0,111025,2,1670.0,,HRV,HRV_0163,2022-11-30 18:17:20
Echinoderms,6,"Starfish belong to what animal phylum, whose name means ""spiny skin""? ",85,1.636,13,111025,p,K,1811.0,,,115051,,,,HRV,HRV_0163,2022-11-30 18:17:20
Mae West,7,"Because her name became a slang term for a life preserver, who is the only actress whose name is an entry in Merriam-Webster's?",26,1.62,14,115051,q,S,1513.0,,,118742,,,,HRV,HRV_0163,2022-11-30 18:17:20
"the white flesh that houses the seeds, known as the placenta",3,What is the hottest part of a chili?,432,1.788,15,118742,t,W,1533.0,122807.0,126822.0,131039,5,1904.0,,HRV,HRV_0163,2022-11-30 18:17:20
A jenny ,3,What is a female donkey called?,194,0.57,16,131039,p,K,1921.0,,,134070,,,,HRV,HRV_0163,2022-11-30 18:17:20
Dorito is Spanish for little golden things,6,What does Dorito actually mean?,434,1.041,17,134070,p,K,1656.0,,,137336,,,,HRV,HRV_0163,2022-11-30 18:17:20
Let's spend some time together,2,"In 1967, what did The Ed Sullivan Show force the Rolling Stones to sing instead of the title of their song ""Let's Spend the Night Together""?",54,1.385,18,137336,p,K,3078.0,,,142335,,,,HRV,HRV_0163,2022-11-30 18:17:20
Dragees,5,"What are the sugared almonds, traditionally thrown over the bride and groom at a wedding, called?",430,1.647,19,142335,p,K,3220.0,,,147726,,,,HRV,HRV_0163,2022-11-30 18:17:20
Shark,2,"What animal is thought to be immune to most all diseases, including cancer? ",132,1.593,20,147726,t,W,3422.0,153681.0,157696.0,160741,5,922.0,,HRV,HRV_0163,2022-11-30 18:17:20
The Loch Ness Monster,5,"In 1994, Christian Spurling confessed that the so-called Surgeon's Photo of 1934 was a fake. What was pictured in it?",55,0.651,21,160741,p,K,3236.0,,,165148,,,,HRV,HRV_0163,2022-11-30 18:17:20
Michael Dell,5,What founder of PCs Limited went on to become the youngest Fortune 500 CEO in history?,180,1.483,22,165148,t,W,1800.0,169475.0,173493.0,176452,4,950.0,,HRV,HRV_0163,2022-11-30 18:17:20
Everything ,6,Pantophobia is the fear of what?,79,1.822,23,176452,t,W,1774.0,180758.0,184774.0,188083,4,965.0,,HRV,HRV_0163,2022-11-30 18:17:20
Xanadu ,1,What 1980 film is named for the legendary square-shaped capital of Kublai Khan? ,123,1.849,24,188083,p,K,1627.0,,,192093,,,,HRV,HRV_0163,2022-11-30 18:17:20
Frog,2,Certain types of which animal can be frozen solid and then continue living once thawed?,30,1.31,25,192093,q,S,3115.0,,,197052,,,,HRV,HRV_0163,2022-11-30 18:17:20
Silicon,2,What element is combined with oxygen to make up the mineral quartz?,269,1.444,26,197052,p,K,2015.0,,,201036,,,,HRV,HRV_0163,2022-11-30 18:17:20
Radar,1,What was developed thanks to Christian Hulsmeyer's 1904 invention of the telemobiloscope?  ,275,1.18,27,201036,q,S,1712.0,,,204444,,,,HRV,HRV_0163,2022-11-30 18:17:20
Apple sauce,3,What was the first food eaten in space?,435,1.515,28,204444,t,W,2388.0,209352.0,213367.0,216202,3,794.0,,HRV,HRV_0163,2022-11-30 18:17:20
Grace Kelly ,6,What was the name of the American actress who was first to appear on a postage stamp?  ,288,1.749,29,216202,p,K,1615.0,,,220098,,,,HRV,HRV_0163,2022-11-30 18:17:20
Mexico ,2,"In what nation did the woven-yarn craft of ""God's eyes"" originate? ",65,1.303,30,220098,q,S,1672.0,,,223598,,,,HRV,HRV_0163,2022-11-30 18:17:20
Sri Lanka,2,"The word serendipity comes from Serendip, the Persian name for what island? ",109,0.715,31,223598,q,S,1735.0,,,226568,,,,HRV,HRV_0163,2022-11-30 18:17:20
Newborns ,3,The apgar score is used to measure the color and condition of what? ,91,1.412,32,226568,t,W,2326.0,231410.0,235428.0,238396,3,1017.0,,HRV,HRV_0163,2022-11-30 18:17:20
Germany,1,Which European country was the first to produce decaffeinated coffee? ,412,0.93,33,238396,t,W,1747.0,242677.0,246700.0,248915,5,761.0,,HRV,HRV_0163,2022-11-30 18:17:20
Gerald Ford ,4,What president was shot while walking to California Governor Jerry Brown's office?  ,247,0.962,34,248915,q,S,1699.0,,,252113,,,,HRV,HRV_0163,2022-11-30 18:17:20
Egypt,7,"In what country would you find the port of Rosetta, of Rosetta Stone fame?  ",63,0.737,35,252113,p,K,1500.0,,,254877,,,,HRV,HRV_0163,2022-11-30 18:17:20
Lhasa Apso,4,"What is called the ""bark lion sentinel dog"" in its native Tibet?  ",200,0.803,36,254877,p,K,1517.0,,,257721,,,,HRV,HRV_0163,2022-11-30 18:17:20
Near Alaska,1,The fictional nation of Brobdingnag from Gulliver's Travels is presumed to be where?,98,0.512,37,257721,q,S,1642.0,,,260426,,,,HRV,HRV_0163,2022-11-30 18:17:20
Thomas Hardy,5,"Though the rest of him lies in Westminster Abbey, what writer's heart is buried near his native Dorchester?",116,1.77,38,260426,t,W,1873.0,264816.0,268836.0,271784,3,649.0,,HRV,HRV_0163,2022-11-30 18:17:20
Dutch Oven,2,"What kind of ""oven"" is the official state cooking pot of Utah? ",220,1.697,39,271784,q,S,1843.0,,,275846,,,,HRV,HRV_0163,2022-11-30 18:17:20
Sepia,1,What tinting process for black and white photography was named for the genus of cuttlefish that originally provided the pigment?,266,1.952,40,275846,p,K,1656.0,,,279973,,,,HRV,HRV_0163,2022-11-30 18:17:20
Shenandoah Valley,4,What area changed hands 72 times during the Civil War? ,139,1.155,41,279973,p,K,2108.0,,,283753,,,,HRV,HRV_0163,2022-11-30 18:17:20
Japan,1,Where is the longest suspension bridge? ,319,1.427,42,283753,p,K,1575.0,,,287283,,,,HRV,HRV_0163,2022-11-30 18:17:20
Escape,5,"What word is the actual title of the 1979 hit usually called ""The Pina Colada Song""?   ",299,1.323,43,287283,p,K,2139.0,,,291267,,,,HRV,HRV_0163,2022-11-30 18:17:20
Two of the seven cities of gold,4,What are Quivira and Cibola?  ,136,1.428,44,291267,t,W,2281.0,296098.0,300114.0,303113,5,1044.0,,HRV,HRV_0163,2022-11-30 18:17:20
Endeavour ,6,What is the name of the ship that carried Captain Cook to Australia?  ,208,1.427,45,303113,q,S,1779.0,,,306852,,,,HRV,HRV_0163,2022-11-30 18:17:20
Rooster,7,What animal is combined with a serpent to make the mythical creature the Cockatrice? ,268,0.678,46,306852,p,K,1539.0,,,309612,,,,HRV,HRV_0163,2022-11-30 18:17:20
Walt Disney,1,Which person has been awarded the most Oscars ever? ,349,1.584,47,309612,p,K,1511.0,,,313251,,,,HRV,HRV_0163,2022-11-30 18:17:20
Pride and Prejudice,5,"""An Assembly Such as This"" was a retelling of what famous literary work from a different character's point of view?",1,1.85,48,313251,t,W,2392.0,318191.0,322207.0,325424,4,844.0,,HRV,HRV_0163,2022-11-30 18:17:20
