trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,trialEvents,selected,rsp,rt,rt_UNIX,receivedResponse,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,rt_perfnow,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'veggieswithdip', 'src': '/static/foodstim60/veggieswithdip.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 2891.600000143051, 'positionName': 'LEFT', 'positionCoords': [512.6, 335.5], 'bid': 5.75}, {'imgObject': {}, 'id': 'mango', 'src': '/static/foodstim60/mango.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 2992.5, 'positionName': 'RIGHT', 'positionCoords': [998.4, 334.5], 'bid': 4.41}]",4118.900000095367,1669832122878,veggieswithdip,mango,5.75,4.41,-1.3399999999999999,"[{'event': 'fullscreenchange', 'details': 'fullscreenexit', 'performance time': 4132.299999952316, 'date time': 1669832122892}]",NaN,NaN,NaN,NaN,False,8133.400000095367,4014.5,1669832126893,4015,,HRV,HRV_0196,2022-11-30 18:23:13
1,"[{'imgObject': {}, 'id': 'eggsalad', 'src': '/static/foodstim60/eggsalad.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 8179.600000143051, 'positionName': 'LEFT', 'positionCoords': [333.52, 220.5], 'bid': 5.2700000000000005}, {'imgObject': {}, 'id': 'cherries', 'src': '/static/foodstim60/cherries.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 8182, 'positionName': 'RIGHT', 'positionCoords': [805.48, 219.5], 'bid': 6.23}]",8154.400000095367,1669832126914,eggsalad,cherries,5.2700000000000005,6.23,0.96,,eggsalad,u,1667.5,1668,True,10337.600000143051,2183.2000000476837,1669832129097,2183,1668.2000000476837,HRV,HRV_0196,2022-11-30 18:23:13
2,"[{'imgObject': {}, 'id': 'cocktailshrimp', 'src': '/static/foodstim60/cocktailshrimp.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 10342.100000143051, 'positionName': 'LEFT', 'positionCoords': [333.52, 220], 'bid': 1.54}, {'imgObject': {}, 'id': 'salmon', 'src': '/static/foodstim60/salmon.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 10343.400000095367, 'positionName': 'RIGHT', 'positionCoords': [805.48, 220.5], 'bid': 2.08}]",10339.0,1669832129098,cocktailshrimp,salmon,1.54,2.08,0.54,,salmon,i,3444.600000143051,3446,True,14285.400000095367,3946.4000000953674,1669832133045,3947,3445.4000000953674,HRV,HRV_0196,2022-11-30 18:23:13
3,"[{'imgObject': {}, 'id': 'tacos', 'src': '/static/foodstim60/tacos.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 14290, 'positionName': 'LEFT', 'positionCoords': [332.52, 219.5], 'bid': 6}, {'imgObject': {}, 'id': 'strawberries', 'src': '/static/foodstim60/strawberries.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 14293.5, 'positionName': 'RIGHT', 'positionCoords': [805.48, 220], 'bid': 4.65}]",14286.700000047684,1669832133046,tacos,strawberries,6.0,4.65,-1.3499999999999996,,tacos,u,990.9000000953674,991,True,15795.5,1508.7999999523163,1669832134555,1509,991.2000000476837,HRV,HRV_0196,2022-11-30 18:23:13
4,"[{'imgObject': {}, 'id': 'chicken nuggets2', 'src': '/static/foodstim60/chicken nuggets2.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 15800.299999952316, 'positionName': 'LEFT', 'positionCoords': [333.52, 220.5], 'bid': 8.040000000000001}, {'imgObject': {}, 'id': 'mac & cheese', 'src': '/static/foodstim60/mac & cheese.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 15803.600000143051, 'positionName': 'RIGHT', 'positionCoords': [805.48, 220], 'bid': 7.4}]",15796.799999952316,1669832134556,chicken nuggets2,mac & cheese,8.040000000000001,7.4,-0.6400000000000006,,chicken nuggets2,u,808.8000001907349,809,True,17113.200000047684,1316.4000000953674,1669832135873,1317,809.1000001430511,HRV,HRV_0196,2022-11-30 18:23:13
5,"[{'imgObject': {}, 'id': 'strawberries', 'src': '/static/foodstim60/strawberries.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 17117.400000095367, 'positionName': 'LEFT', 'positionCoords': [333.52, 220], 'bid': 4.65}, {'imgObject': {}, 'id': 'eggs', 'src': '/static/foodstim60/eggs.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 17119.900000095367, 'positionName': 'RIGHT', 'positionCoords': [805.48, 220.5], 'bid': 8}]",17114.400000095367,1669832135874,strawberries,eggs,4.65,8.0,3.3499999999999996,,eggs,i,899.2999999523163,899,True,18531.799999952316,1417.3999998569489,1669832137291,1417,899.5999999046326,HRV,HRV_0196,2022-11-30 18:23:13
6,"[{'imgObject': {}, 'id': 'raisin bran w milk', 'src': '/static/foodstim60/raisin bran w milk.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 18536.10000014305, 'positionName': 'LEFT', 'positionCoords': [332.52, 219.5], 'bid': 3.23}, {'imgObject': {}, 'id': 'hashbrowns', 'src': '/static/foodstim60/hashbrowns.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 18539, 'positionName': 'RIGHT', 'positionCoords': [805.48, 220], 'bid': 2.81}]",18532.700000047684,1669832137292,raisin bran w milk,hashbrowns,3.23,2.81,-0.41999999999999993,,hashbrowns,i,1137.5999999046326,1138,True,20183.700000047684,1651.0,1669832138943,1651,1138.2999999523163,HRV,HRV_0196,2022-11-30 18:23:13
7,"[{'imgObject': {}, 'id': 'veggieswithdip', 'src': '/static/foodstim60/veggieswithdip.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 20185.900000095367, 'positionName': 'LEFT', 'positionCoords': [334.52, 220.5], 'bid': 5.75}, {'imgObject': {}, 'id': 'raspberries', 'src': '/static/foodstim60/raspberries.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 20188, 'positionName': 'RIGHT', 'positionCoords': [805.48, 219.5], 'bid': 5.67}]",20184.299999952316,1669832138944,veggieswithdip,raspberries,5.75,5.67,-0.08000000000000007,,veggieswithdip,u,725.9000000953674,726,True,21426.5,1242.2000000476837,1669832140186,1242,726.6000001430511,HRV,HRV_0196,2022-11-30 18:23:13
8,"[{'imgObject': {}, 'id': 'raisin bran w milk', 'src': '/static/foodstim60/raisin bran w milk.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 21430.700000047684, 'positionName': 'LEFT', 'positionCoords': [332.52, 219.5], 'bid': 3.23}, {'imgObject': {}, 'id': 'edamame', 'src': '/static/foodstim60/edamame.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 21433.900000095367, 'positionName': 'RIGHT', 'positionCoords': [805.48, 220], 'bid': 5.44}]",21427.700000047684,1669832140187,raisin bran w milk,edamame,3.23,5.44,2.2100000000000004,,edamame,i,834.5999999046326,835,True,22780.200000047684,1352.5,1669832141540,1353,835.2000000476837,HRV,HRV_0196,2022-11-30 18:23:13
9,"[{'imgObject': {}, 'id': 'granola w milk', 'src': '/static/foodstim60/granola w milk.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 22783.10000014305, 'positionName': 'LEFT', 'positionCoords': [333.52, 220], 'bid': 1.58}, {'imgObject': {}, 'id': 'sweetpotato', 'src': '/static/foodstim60/sweetpotato.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 22785.700000047684, 'positionName': 'RIGHT', 'positionCoords': [805.48, 220], 'bid': 1.48}]",22781.0,1669832141541,granola w milk,sweetpotato,1.58,1.48,-0.10000000000000009,,granola w milk,u,856.4000000953674,856,True,24155.10000014305,1374.1000001430511,1669832142915,1374,856.6000001430511,HRV,HRV_0196,2022-11-30 18:23:13
