Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,C_TrialEnd,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
The Commodore 64 ,6,What 1982 successor to the VIC-20 is still the bestselling computer model of all time?,124,1.983,0,8888.899999976158,18402.100000023842,,,,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Choking on food,5,"Each year, approximately 125 people die of what? ",417,1.306,1,18402.100000023842,27920.399999976158,,,,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Espresso,2,The Italian government regulates the price of what beverage?,399,1.053,2,27920.399999976158,37447.19999998808,,,,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Sao Paulo,4,What's the most populous city in the Southern Hemisphere?,304,1.631,3,37447.30000001192,46983.5,,,,,,,,HRV,HRV_0201,2022-11-30 18:30:10
University of Phoenix,6,"What school has the most students over age 25, according to U.S. News & World Report?",256,0.683,4,46983.5,56489.60000002384,,,,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Bouquet,6,"Young wines are said to have ""aroma."" What do older wines have instead?",395,1.43,5,56489.60000002384,66030.10000002384,,,,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Pen(n)sylvania ,4,What proper name is spelled unusually with a single 'n' both on the Liberty Bell and in the U.S. Constitution? ,249,1.679,6,66030.10000002384,70420.89999997616,q,S,2195.0,,,,,HRV,HRV_0201,2022-11-30 18:30:10
"the white flesh that houses the seeds, known as the placenta",3,What is the hottest part of a chili?,432,0.651,7,70421.0,73122.60000002384,q,S,1539.8999999761581,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Green Eggs and Ham,6,What 1960 classic originated when Bennett Cerf bet one of his authors that he couldn't write a book using only fifty words?,419,1.445,8,73122.69999998808,76581.89999997616,q,S,1502.4000000357628,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Hey Jude,6,What Beatles song lasted the longest on the American charts? ,143,1.698,9,76582.0,80871.5,p,K,2058.899999976158,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Rod Serling ,6,What famed TV personality wrote the screenplay for 1968's Planet of the Apes? ,175,0.614,10,80871.5,84199.39999997616,p,K,2193.399999976158,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Holy Roman Emperor Henry IV ,3,Who did Pope Gregory VII leave in the snow outside of his castle gates for three full days?  ,365,1.833,11,84199.5,88468.30000001192,q,S,1921.300000011921,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Dutch Oven,4,"What kind of ""oven"" is the official state cooking pot of Utah? ",220,1.911,12,88468.30000001192,92536.89999997616,q,S,1620.3999999761581,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Poison-arrow frog,5,"Which animal's poison could kill up to 2,200 people? ",329,1.003,13,92537.0,95987.39999997616,p,K,1927.699999988079,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Giant squid,6,What is the largest creature without a backbone? ,203,1.519,14,95987.39999997616,99690.30000001192,q,S,1661.2000000476837,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Mushrooms which have been exposed to light,3,What is the only non-animal natural source of vitamin D?,459,0.897,15,99690.30000001192,103550.60000002384,p,K,2446.300000011921,,,,,HRV,HRV_0201,2022-11-30 18:30:10
The barrel of a gun,4,"According to Chairman Mao, ""political power grows out of"" what?",11,0.732,16,103550.60000002384,106808.89999997616,q,S,1994.0,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Bhutan,4,"Thimpu, the world's only capital city with no traffic lights, is the capital of what tiny kingdom?",114,1.865,17,106808.89999997616,111248.39999997616,q,S,2063.600000023842,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Gerald Ford ,7,What president was shot while walking to California Governor Jerry Brown's office?  ,247,1.964,18,111248.5,115548.60000002384,q,S,1816.0,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Canada,6,What's the only country to have hosted a Summer Olympics in which it didn't win a single medal?   ,308,0.926,19,115548.60000002384,120212.0,q,S,3204.099999964237,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Ronin,5,"What Japanese word for ""wave person"" refers to a masterless samurai?  ",219,0.883,20,120212.10000002384,124276.30000001192,q,S,2652.2999999523163,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Great Britain,5,"Of the world's seven most populous islands, what's the only one not in Asia? ",76,1.295,21,124276.30000001192,127950.19999998808,q,S,1868.0999999642372,,,,,HRV,HRV_0201,2022-11-30 18:30:10
The La Brea tar pits ,3,"A California Chumash Indian woman, who appears to have been killed by a blow to the head 9,000 years ago, is the only human ever to be found where?",7,1.377,22,127950.19999998808,131769.5,q,S,1914.1000000238419,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Ampersand (&),6,"What began as a ligature of the letters ""e"" and ""t""?",144,1.814,23,131769.5,136586.89999997616,q,S,2478.600000023842,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Japan ,5,What nation is home to the only tunnel in the world longer than the Chunnel?  ,236,0.696,24,136586.89999997616,139373.10000002384,q,S,1573.2000000476837,,,,,HRV,HRV_0201,2022-11-30 18:30:10
