Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,C_TrialEnd,rsp,C_SWK,C_SWK_rt,exp,subjectId,date
The barrel of a gun,1,"According to Chairman Mao, ""political power grows out of"" what?",11,1.895,0,4087.699999988079,13599.59999999404,,,,HRV,HRV_0221,2022-11-30 18:51:52
pastry,3,Choux and filo are two types of what food product?,446,0.529,1,13599.59999999404,22279.90000000596,q,S,7643.0999999940395,HRV,HRV_0221,2022-11-30 18:51:52
potein,1,"What nutrient comes from meat, eggs, and fish?",433,1.28,2,22280.29999998212,29088.19999998808,p,K,5016.5,HRV,HRV_0221,2022-11-30 18:51:52
Cement,7,"The SS Faith, a ship built by Leslie Comyn, was made of what unique material?",105,1.39,3,29088.19999998808,37400.40000000596,q,S,6414.200000017881,HRV,HRV_0221,2022-11-30 18:51:52
Peanuts ,7,What snack food is an ingredient in the explosive dynamite?  ,408,1.032,4,37400.5,46911.40000000596,,,,HRV,HRV_0221,2022-11-30 18:51:52
Aluminum,7,Bauxite ore is mined so it can be processed into what metal?,25,0.803,5,46911.40000000596,56423.5,,,,HRV,HRV_0221,2022-11-30 18:51:52
Australia,5,"""Welcome Stranger,"" the largest nugget of gold discovered, weighed 158 pounds and was discovered in what country?",5,0.673,6,56423.59999999404,64968.29999998212,q,S,7357.800000011921,HRV,HRV_0221,2022-11-30 18:51:52
Espresso,2,The Italian government regulates the price of what beverage?,399,1.336,7,64968.69999998808,70592.59999999404,q,S,3775.9000000059605,HRV,HRV_0221,2022-11-30 18:51:52
Adobe,3,"What word for mud bricks comes to us from the ancient Egyptian word ""dbt""? ",298,0.54,8,70592.59999999404,76328.29999998212,q,S,4688.199999988079,HRV,HRV_0221,2022-11-30 18:51:52
Social Security,5,Ida May Fuller was the first U.S. citizen to receive a check for what?,46,0.788,9,76328.40000000596,83879.69999998808,q,S,6251.399999976158,HRV,HRV_0221,2022-11-30 18:51:52
Ear ,4,"The pinna is the outer, visible part of what?",103,1.681,10,83880.09999999404,90288.90000000596,p,K,4214.0999999940395,HRV,HRV_0221,2022-11-30 18:51:52
cooking,4,"If you suffer from Mageirocophobia, what are you scared of?",438,0.568,11,90288.90000000596,96239.79999998212,q,S,4870.699999988079,HRV,HRV_0221,2022-11-30 18:51:52
Claudius,4,Which Roman emperor had a speech impediment?  ,351,1.593,12,96240.0,101344.0,p,K,3000.9000000059605,HRV,HRV_0221,2022-11-30 18:51:52
"Puffer fish, if they are prepared incorrectly thheir poison could kill the eater. ",4,Cooking which food requires over two years of training?,461,0.594,13,101344.29999998212,106760.29999998212,p,K,4309.200000017881,HRV,HRV_0221,2022-11-30 18:51:52
Pride and Prejudice,3,"""An Assembly Such as This"" was a retelling of what famous literary work from a different character's point of view?",1,1.129,14,106760.59999999404,113752.40000000596,p,K,5359.199999988079,HRV,HRV_0221,2022-11-30 18:51:52
Belgium,5,Where were French fries invented?,437,0.729,15,113752.69999998808,117383.40000000596,p,K,2390.800000011921,HRV,HRV_0221,2022-11-30 18:51:52
Twenty-fourth ,1,Which Constitutional Amendment deals with poll taxes? ,335,0.969,16,117383.5,120759.69999998808,p,K,1899.9000000059605,HRV,HRV_0221,2022-11-30 18:51:52
chickpeas,4,What is used to make hummus?,424,0.865,17,120759.79999998212,123808.79999998212,p,K,1668.0,HRV,HRV_0221,2022-11-30 18:51:52
Oklahoma,5,"What U.S. state has the slogan ""Native America"" on its license plates?",271,0.549,18,123808.90000000596,128560.09999999404,p,K,3695.5,HRV,HRV_0221,2022-11-30 18:51:52
Kayak,2,An umiak is a larger version of what? ,20,1.915,19,128560.19999998808,135743.69999998808,q,S,4755.700000017881,HRV,HRV_0221,2022-11-30 18:51:52
Habanero,7,What chili pepper was believed the hottest in the world until the Naga Jolokia pepper was discovered in India in 2000?,401,0.989,20,135743.79999998212,140648.19999998808,p,K,3406.5,HRV,HRV_0221,2022-11-30 18:51:52
A Spoonful of Sugar ,2,What classic Disney song was inspired by lyricist Robert Sherman's fiver-year old son receiving the Sabin polio vaccine at school?,420,1.671,21,140648.29999998212,150630.5,q,S,7783.700000017881,HRV,HRV_0221,2022-11-30 18:51:52
a spit,5,"If something is described as rotisserie, what has it been cooked on?",428,0.868,22,150630.5,155400.0,p,K,3391.5999999940395,HRV,HRV_0221,2022-11-30 18:51:52
A Hawaiian goose,6,What is a nene?,195,0.95,23,155400.09999999404,158801.0,q,S,1945.5999999940395,HRV,HRV_0221,2022-11-30 18:51:52
Prussian Blue ,7,What craylola color became 'midnight blue' in 1985 to remove an out-of-date geographical term? ,160,1.431,24,158801.09999999404,168456.5,q,S,7718.199999988079,HRV,HRV_0221,2022-11-30 18:51:52
"A peanut is a legume, not a nut",3,What type of food is a peanut?,447,0.761,25,168456.79999998212,171427.19999998808,p,K,1698.7000000178814,HRV,HRV_0221,2022-11-30 18:51:52
Sao Paulo,1,What's the most populous city in the Southern Hemisphere?,304,1.325,26,171427.19999998808,176328.69999998808,q,S,3064.4000000059605,HRV,HRV_0221,2022-11-30 18:51:52
Captain Cook ,7,"Who christened Hawaii ""the Sandwich Islands"" in 1778?  ",363,1.47,27,176329.0,180983.5,q,S,2674.4000000059605,HRV,HRV_0221,2022-11-30 18:51:52
Tuesday,4,Greeks consider which day of the week the unluckiest because it is the day that Constantinople fell in 1453? ,43,1.555,28,180983.5,187616.0,q,S,4565.299999982119,HRV,HRV_0221,2022-11-30 18:51:52
"Third finger, left hand ",2,What part of his body did Keith Richards insure for a million pounds?,243,0.725,29,187616.0,193672.09999999404,p,K,4823.4000000059605,HRV,HRV_0221,2022-11-30 18:51:52
The popsicle,7,Which popular treat was invented by an 11-year-old in California? ,413,1.2,30,193672.09999999404,200624.19999998808,q,S,5242.699999988079,HRV,HRV_0221,2022-11-30 18:51:52
An ostrich egg yolk ,3,What grapefruit-sized object has been reckoned to be the largest single cell on earth? ,183,0.748,31,200624.29999998212,208487.5,q,S,6606.100000023842,HRV,HRV_0221,2022-11-30 18:51:52
the skin and bones of animals,7,What is gelatin made from?,445,1.085,32,208487.79999998212,212849.0,p,K,2768.9000000059605,HRV,HRV_0221,2022-11-30 18:51:52
Shoe sizes,5,"In Europe, but not the U.S., what are measured in ""Paris Points""?",59,1.519,33,212849.0,219719.5,q,S,4842.199999988079,HRV,HRV_0221,2022-11-30 18:51:52
Pancreas,7,In what organ of the body would you find the islets of Langerhans and the duct of Wirsung? ,66,0.548,34,219719.5,225344.19999998808,q,S,4564.0,HRV,HRV_0221,2022-11-30 18:51:52
Silicon,7,What element is combined with oxygen to make up the mineral quartz?,269,1.26,35,225344.19999998808,229240.59999999404,q,S,2129.300000011921,HRV,HRV_0221,2022-11-30 18:51:52
A jenny ,5,What is a female donkey called?,194,1.602,36,229240.69999998808,233639.59999999404,q,S,2289.4000000059605,HRV,HRV_0221,2022-11-30 18:51:52
What do women want? ,5,"What was the one question Sigmund Freud said he was unable to answer, despite 30 years of research?",291,0.946,37,233639.79999998212,239791.59999999404,q,S,4692.100000023842,HRV,HRV_0221,2022-11-30 18:51:52
Bacon,7,"In Britain, what kind of meat comes in rashers?",397,1.353,38,239791.79999998212,243912.59999999404,q,S,2254.2000000178814,HRV,HRV_0221,2022-11-30 18:51:52
Cricket,7,"What sport used the term ""home run"" long before baseball?  ",260,1.568,39,243912.59999999404,250872.19999998808,q,S,4881.0999999940395,HRV,HRV_0221,2022-11-30 18:51:52
Sepia,4,What tinting process for black and white photography was named for the genus of cuttlefish that originally provided the pigment?,266,0.922,40,250872.19999998808,257552.19999998808,q,S,5247.5,HRV,HRV_0221,2022-11-30 18:51:52
The Netherlands,5,In 1568 the Catholic Church sentenced the entire population of which nation to death as heretics?,47,1.147,41,257552.5,263608.7999999821,q,S,4396.9000000059605,HRV,HRV_0221,2022-11-30 18:51:52
The Hardy Boys ,3,"Who solves crimes in Bayport, located on Barmet Bay? ",374,1.643,42,263608.7999999821,267983.7999999821,q,S,2218.4000000059605,HRV,HRV_0221,2022-11-30 18:51:52
"Gaslight CafÃ©, Greenwich Village",1,Where did Bob Dylan first play in public? ,314,1.775,43,267984.0,273432.7999999821,q,S,3163.5999999940395,HRV,HRV_0221,2022-11-30 18:51:52
Bright red,5,Vitamin A is largely available in natural food sources with which colour?,448,1.019,44,273432.7999999821,280008.2999999821,p,K,5041.600000023842,HRV,HRV_0221,2022-11-30 18:51:52
