success,trial_type,trial_index,time_elapsed,internal_node_id,Block,TrialNumber,TrialTime,trialTimeDiff,FPS_avg,FPS_med,FPS_mode,TrialDur,winResizeTime,missTrial,missTrialMsg,rt,block,button_pressed,MotCoh,MotDir,ColCoh,Color,ChoiceKey,Choice,Accuracy,RT,nFrames,FPS,PPD,onsetDelay,fullScreenExitTime,canvCenter,TrialType,Score,BlockTrial,stimulus,button_labels,exp,subjectId,date
True,fullscreen,0,2033,0.0-0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0236,2022-11-30 19:24:23
,wl-check-fps,1,23658,0.0-1.0,0.0,1.0,"[18899.5, 18907.6, 18924.8, 18945.4, 18959.5, 18978.3, 18995.4, 19009.5, 19024.1, 19044.7, 19057.7, 19074.8, 19093.7, 19108.5, 19125.7, 19143.2, 19158.5, 19175.5, 19193.2, 19209.4, 19225.3, 19243.8, 19257.6, 19274.1, 19291.4, 19307.5, 19324, 19343.9, 19358.9, 19376.3, 19394, 19407.8, 19425.5, 19441.3, 19457.5, 19476.6, 19493, 19507.6, 19526.1, 19541.4, 19557.5, 19574.4, 19591.6, 19607.4, 19624.3, 19641.7, 19657.5, 19674.3, 19692.2, 19707.9, 19724.2, 19742.2, 19758, 19774.1, 19791.3, 19807.5, 19824.3, 19841.7, 19857.7, 19874.4, 19892.2, 19908.7, 19924.1, 19943.3, 19957.9, 19974.5, 19991, 20007.4, 20023.7, 20040.7, 20057.1, 20074.1, 20091.3, 20108.5, 20125.9, 20143.2, 20159.4, 20175.9, 20193.2, 20209.1, 20225.6, 20243.8, 20259, 20277.9, 20294.1, 20308.6, 20324.7, 20341.3, 20358.5, 20375.5, 20393.9, 20407.8, 20424.4, 20441.4, 20457.8, 20476, 20491.7, 20507.8, 20524.5, 20541.3, 20557.9, 20574.9, 20592, 20607.8, 20624.7, 20642.5, 20658.3, 20674.6, 20691.7, 20708.1, 20724.5, 20741.6, 20759.2, 20774.7, 20791.1, 20808.2, 20824.1, 20840.9, 20857.8, 20874.7, 20891.2, 20908.8, 20924.2, 20941.2, 20958.2, 20974.4, 20992, 21007.9, 21024.4, 21041.1, 21057.8, 21074.4, 21090.8, 21107.7, 21124.6, 21141.8, 21158.4, 21174.9, 21191.8, 21208.1, 21224.9, 21241.8, 21258.2, 21275.1, 21291.3, 21308.3, 21324.9, 21341.5, 21358.1, 21374.6, 21391.4, 21407.9, 21425.1, 21441.9, 21458.1, 21475.5, 21491.7, 21508.6, 21525, 21541.7, 21558.2, 21575, 21591.6, 21608.7, 21625.3, 21641.9, 21658.2, 21675.1, 21692, 21708.1, 21724.9, 21741.8, 21757.9, 21774.6, 21791.4, 21808.3, 21825.1, 21841.6, 21858.5, 21875.2, 21891.7, 21908, 21924.9, 21942.2, 21958.2, 21974.9, 21992, 22010, 22025.1, 22041.4, 22058.5, 22074.8, 22091.5, 22108.2, 22124.9, 22141.9, 22158.6, 22175.4, 22191.9, 22208.6, 22225.8, 22242, 22258.5, 22275.3, 22292.3, 22308.5, 22325.2, 22342, 22358.5, 22375.4, 22392.1, 22408.6, 22425.4, 22442.1, 22458.7, 22475.6, 22492.1, 22508.6, 22525.4, 22542.2, 22559, 22575.6, 22592.4, 22609.5, 22625.5, 22642.2, 22662.6, 22679, 22691.9, 22709, 22725.6, 22742.4, 22759.1, 22775.6, 22792.3, 22809, 22825.4, 22841.9, 22859, 22875.8, 22893, 22908.9, 22926.9, 22947.2, 22959, 22976.4, 22992.2, 23009.6, 23028, 23041.6, 23058.9, 23075.1, 23091.9, 23108.8, 23125.5, 23142.4, 23159, 23175.9, 23192.4, 23210.2, 23225.9, 23242.8, 23258.9, 23275.6, 23292.3, 23308.8, 23325.4, 23342.4, 23359.3, 23375.8, 23392.6, 23409, 23425.7, 23442.5, 23458.9, 23476, 23492.3, 23509.1, 23525.6, 23542.5, 23559.1, 23576.5, 23592.4, 23609.1, 23625.8, 23642.4, 23658.9, 23675.6, 23692.2, 23709, 23725.4, 23742.4, 23758.9, 23775.7, 23792.2, 23808.7, 23825.6, 23842.4, 23859.2, 23876.1]","[0.9, 8.1, 17.2, 20.6, 14.1, 18.8, 17.1, 14.1, 14.6, 20.6, 13, 17.1, 18.9, 14.8, 17.2, 17.5, 15.3, 17, 17.7, 16.2, 15.9, 18.5, 13.8, 16.5, 17.3, 16.1, 16.5, 19.9, 15, 17.4, 17.7, 13.8, 17.7, 15.8, 16.2, 19.1, 16.4, 14.6, 18.5, 15.3, 16.1, 16.9, 17.2, 15.8, 16.9, 17.4, 15.8, 16.8, 17.9, 15.7, 16.3, 18, 15.8, 16.1, 17.2, 16.2, 16.8, 17.4, 16, 16.7, 17.8, 16.5, 15.4, 19.2, 14.6, 16.6, 16.5, 16.4, 16.3, 17, 16.4, 17, 17.2, 17.2, 17.4, 17.3, 16.2, 16.5, 17.3, 15.9, 16.5, 18.2, 15.2, 18.9, 16.2, 14.5, 16.1, 16.6, 17.2, 17, 18.4, 13.9, 16.6, 17, 16.4, 18.2, 15.7, 16.1, 16.7, 16.8, 16.6, 17, 17.1, 15.8, 16.9, 17.8, 15.8, 16.3, 17.1, 16.4, 16.4, 17.1, 17.6, 15.5, 16.4, 17.1, 15.9, 16.8, 16.9, 16.9, 16.5, 17.6, 15.4, 17, 17, 16.2, 17.6, 15.9, 16.5, 16.7, 16.7, 16.6, 16.4, 16.9, 16.9, 17.2, 16.6, 16.5, 16.9, 16.3, 16.8, 16.9, 16.4, 16.9, 16.2, 17, 16.6, 16.6, 16.6, 16.5, 16.8, 16.5, 17.2, 16.8, 16.2, 17.4, 16.2, 16.9, 16.4, 16.7, 16.5, 16.8, 16.6, 17.1, 16.6, 16.6, 16.3, 16.9, 16.9, 16.1, 16.8, 16.9, 16.1, 16.7, 16.8, 16.9, 16.8, 16.5, 16.9, 16.7, 16.5, 16.3, 16.9, 17.3, 16, 16.7, 17.1, 18, 15.1, 16.3, 17.1, 16.3, 16.7, 16.7, 16.7, 17, 16.7, 16.8, 16.5, 16.7, 17.2, 16.2, 16.5, 16.8, 17, 16.2, 16.7, 16.8, 16.5, 16.9, 16.7, 16.5, 16.8, 16.7, 16.6, 16.9, 16.5, 16.5, 16.8, 16.8, 16.8, 16.6, 16.8, 17.1, 16, 16.7, 20.4, 16.4, 12.9, 17.1, 16.6, 16.8, 16.7, 16.5, 16.7, 16.7, 16.4, 16.5, 17.1, 16.8, 17.2, 15.9, 18, 20.3, 11.8, 17.4, 15.8, 17.4, 18.4, 13.6, 17.3, 16.2, 16.8, 16.9, 16.7, 16.9, 16.6, 16.9, 16.5, 17.8, 15.7, 16.9, 16.1, 16.7, 16.7, 16.5, 16.6, 17, 16.9, 16.5, 16.8, 16.4, 16.7, 16.8, 16.4, 17.1, 16.3, 16.8, 16.5, 16.9, 16.6, 17.4, 15.9, 16.7, 16.7, 16.6, 16.5, 16.7, 16.6, 16.8, 16.4, 17, 16.5, 16.8, 16.5, 16.5, 16.9, 16.8, 16.8, 16.9]",60.0,60.0,61.0,4993.3,[],True,undefinedblurEvent ,,,,,,,,,,,,,,,,,,,,,,,HRV,HRV_0236,2022-11-30 19:24:23
,wl-html-keyboard-response,2,39064,0.0-2.0-0.0,0.0,2.0,,,,,,,,,,13399.200000017881,0.0,0,,,,,,,,,,,,,,,,,,,,HRV,HRV_0236,2022-11-30 19:24:23
,wl-rdm,3,45883,0.0-3.0-0.0,0.0,3.0,,,,,,,[],False,,,,,0.0,0.0,87.9,0.0,u,0.0,True,1243.9000000059605,75.0,61.0,40.0,3000.0,[],"[768, 432]",ColorTask_Demo,,,,,HRV,HRV_0236,2022-11-30 19:24:23
,wl-rdm,4,50666,0.0-3.0-1.0,0.0,4.0,,,,,,,[],False,,,,,0.0,0.0,87.9,1.0,i,1.0,True,727.5,44.0,61.0,40.0,2000.0,[],"[768, 432]",ColorTask_Demo,,,,,HRV,HRV_0236,2022-11-30 19:24:23
,wl-html-keyboard-response,5,54848,0.0-3.0-2.0,0.0,5.0,,,,,,,,,,2175.7999999821186,0.0,1,,,,,,,,,,,,,,,,,,,,HRV,HRV_0236,2022-11-30 19:24:23
,wl-html-keyboard-response,6,77215,0.0-4.0-0.0,0.0,5.0,,,,,,,,True,undefinedblurEvent ,20358.90000000596,0.0,0,,,,,,,,,,,,,,,,,,,,HRV,HRV_0236,2022-11-30 19:24:23
,wl-html-keyboard-response,7,86296,0.0-5.0-0.0,0.0,6.0,,,,,,,,,,7074.4000000059605,0.0,0,,,,,,,,,,,,,,,,,,,,HRV,HRV_0236,2022-11-30 19:24:23
,wl-rdm,8,88562,0.0-6.0-0.0,0.0,7.0,,,,,,,[],False,,,,,,,56.4,0.0,i,1.0,False,869.5,53.0,61.0,40.0,303.4802735359118,[],"[768, 432]",ColorTask,-1.0,1.0,,,HRV,HRV_0236,2022-11-30 19:24:23
,wl-rdm,9,91196,0.0-6.1-0.1,0.0,8.0,,,,,,,[],False,,,,,,,53.2,0.0,u,0.0,True,1346.5,81.0,61.0,40.0,231.10317835075134,[],"[768, 432]",ColorTask,0.0,2.0,,,HRV,HRV_0236,2022-11-30 19:24:23
