Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,exp,subjectId,date
Bacon,1,"In Britain, what kind of meat comes in rashers?",397,1.266,0,78870.20000001788,"[{'event': 'fullscreenchange', 'details': 'fullscreenexit', 'performance time': 79220.10000002384, 'date time': 1669834912397}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 87600, 'date time': 1669834920777}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 90683.90000000596, 'date time': 1669834923861}]",t,W,3338.2999999821186,84729.30000001192,88746.20000001788,1,2230.199999988079,92772.0,HRV,HRV_0236,2022-11-30 19:10:50
Columbus Circle ,6,What Manhattan intersection was America's first traffic circle?,228,1.456,1,92772.0,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 95987.5, 'date time': 1669834929164}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 102054.20000001788, 'date time': 1669834935231}]",,,,,,,,102300.40000000596,HRV,HRV_0236,2022-11-30 19:10:50
Adding olive juice,2,What turns a plain martini into a dirty martini?,440,1.139,2,102300.5,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 107445.10000002384, 'date time': 1669834940622}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 114478.80000001192, 'date time': 1669834947656}]",t,W,3848.0,108671.40000000596,112689.40000000596,3,1957.0,116303.30000001192,HRV,HRV_0236,2022-11-30 19:10:50
The Commodore 64 ,5,What 1982 successor to the VIC-20 is still the bestselling computer model of all time?,124,0.626,3,116303.40000000596,,t,W,2500.800000011921,121318.0,125326.40000000596,1,1459.9000000059605,127940.70000001788,HRV,HRV_0236,2022-11-30 19:10:50
Tim McGraw,3,"At age 11, who accidentally discovered the true identity of his baseball pitcher father while searching his mother's closet for hidden Christmas presents? ",24,1.586,4,127940.80000001192,,t,W,3802.5999999940395,134262.0,138287.90000000596,1,1147.800000011921,141542.90000000596,HRV,HRV_0236,2022-11-30 19:10:50
The nock,7,What slot on the back of an arrow's shaft keeps it on the bowstring? ,259,1.141,5,141543.10000002384,,q,S,2689.2999999821186,,,,,145902.5,HRV,HRV_0236,2022-11-30 19:10:50
Rhesus antigens (Rh or RhD),4,"What is absent in ""negative"" blood types like O negative and AB negative? ",196,1.686,6,145902.60000002384,,t,W,3063.5999999940395,151483.90000000596,155487.90000000596,4,522.9000000059605,158232.80000001192,HRV,HRV_0236,2022-11-30 19:10:50
State quarters ,3,What's been released five times a year from January 1999 to fall 2008?,300,0.921,7,158232.90000000596,,t,W,3146.300000011921,163914.70000001788,167928.0,4,1002.4000000059605,170396.70000001788,HRV,HRV_0236,2022-11-30 19:10:50
Joeys,5,What are infant marsupials called?  ,135,0.643,8,170396.80000001192,,t,W,2218.5,175148.80000001192,179152.5,4,1087.2000000178814,181401.40000000596,HRV,HRV_0236,2022-11-30 19:10:50
Apples. They don't have caffeine but the natural sugar and vitamins release slowly and make you feel more awake. ,5,Whice fruit is effective than coffee at waking you up in the morning?,454,1.334,9,181401.5,,t,W,8179.100000023842,192108.5,196120.30000001192,5,1433.4000000059605,199418.30000001192,HRV,HRV_0236,2022-11-30 19:10:50
Eisenhower ,7,Who was president when the first U.S. presidential news conference was filmed for TV?,378,0.758,10,199418.40000000596,,q,S,4644.700000017881,,,,,205342.70000001788,HRV,HRV_0236,2022-11-30 19:10:50
The Chesapeake Bay,2,What bay is actually the United States's largest tidal estuary? ,141,1.965,11,205342.70000001788,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 214490.80000001192, 'date time': 1669835047668}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 219154, 'date time': 1669835052331}]",t,W,6551.299999982119,214419.5,218425.0,5,1126.9000000059605,222052.0,HRV,HRV_0236,2022-11-30 19:10:50
Dragees,4,"What are the sugared almonds, traditionally thrown over the bride and groom at a wedding, called?",430,1.898,12,222052.10000002384,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 227446.5, 'date time': 1669835060623}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 233286.60000002384, 'date time': 1669835066464}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 234991.80000001192, 'date time': 1669835068169}]",t,W,3484.5999999940395,228055.5,232073.30000001192,1,1706.699999988079,236200.0,HRV,HRV_0236,2022-11-30 19:10:50
Everything ,4,Pantophobia is the fear of what?,79,1.453,13,236200.0,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 237135.90000000596, 'date time': 1669835070313}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 247357.10000002384, 'date time': 1669835080534}]",t,W,1916.6000000238419,240639.80000001192,244659.10000002384,5,1094.3999999761581,247741.30000001192,HRV,HRV_0236,2022-11-30 19:10:50
Echinoderms,7,"Starfish belong to what animal phylum, whose name means ""spiny skin""? ",85,1.164,14,247741.40000000596,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 248743, 'date time': 1669835081920}]",q,S,5407.0,,,,,254843.30000001192,HRV,HRV_0236,2022-11-30 19:10:50
cheese ,7,What item of food holds the world record for being the most stolen item of food in the world?,444,1.494,15,254843.40000000596,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 255063.20000001788, 'date time': 1669835088240}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 258451.40000000596, 'date time': 1669835091628}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 260659.80000001192, 'date time': 1669835093837}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 266677.3000000119, 'date time': 1669835099854}]",t,W,4324.0999999940395,261682.30000001192,265697.10000002384,5,2588.199999988079,270313.7000000179,HRV,HRV_0236,2022-11-30 19:10:50
