Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,C_TrialEnd,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,trialEvents,exp,subjectId,date
Turkey,3,Which animal was named for what was wrongly thought to be its country of origin? ,326,0.743,0,3301.5,12827.799999952316,,,,,,,HRV,HRV_0254,2022-11-30 19:41:26
The Mona Lisa,7,Pablo Picasso was one of the suspects questioned when what item was stolen in Paris in 1911? ,78,1.053,1,12828.099999904633,20026.299999952316,p,K,5619.100000143051,,,,HRV,HRV_0254,2022-11-30 19:41:26
Thomas Hardy,5,"Though the rest of him lies in Westminster Abbey, what writer's heart is buried near his native Dorchester?",116,0.753,2,20026.39999985695,27855.299999952316,q,S,6556.800000190735,,,,HRV,HRV_0254,2022-11-30 19:41:26
The Discovery,4,Which space shuttle is named for the ship on which Robert Scott first sailed to Antarctica? ,352,0.735,3,27855.39999985695,32811.59999990463,q,S,3697.5,,,,HRV,HRV_0254,2022-11-30 19:41:26
The Galapagos Islands ,5,What islands are home to most of the world's blue-footed boobies? ,216,0.66,4,32811.700000047684,49737.0,t,W,5858.699999809265,41193.39999985695,45226.09999990463,,HRV,HRV_0254,2022-11-30 19:41:26
Gabriele Falloppio ,5,What Italian physician was the first to describe the way the ovaries connect to the uterus in humans?,217,1.63,5,49737.09999990463,57561.89999985695,q,S,5672.900000095367,,,,HRV,HRV_0254,2022-11-30 19:41:26
Mushrooms which have been exposed to light,2,What is the only non-animal natural source of vitamin D?,459,1.496,6,57561.89999985695,64934.09999990463,p,K,5340.300000190735,,,,HRV,HRV_0254,2022-11-30 19:41:26
A Cheeta born in 1932,7,Who is the world's oldest (non-human) primate on record?  ,369,1.058,7,64934.200000047684,73273.29999995232,q,S,6749.599999904633,,,,HRV,HRV_0254,2022-11-30 19:41:26
The Ritz (Hotel),5,"F. Scott Fitzgerald wrote a famous short story about ""A Diamond as Big as"" what New York landmark?",39,1.129,8,73273.29999995232,81872.39999985695,p,K,6953.900000095367,,,,HRV,HRV_0254,2022-11-30 19:41:26
The sky,7,The Linke Scale is used to measure the blueness of what?,101,0.885,9,81872.39999985695,90493.70000004768,q,S,7212.600000143051,,,,HRV,HRV_0254,2022-11-30 19:41:26
The Commodore 64 ,1,What 1982 successor to the VIC-20 is still the bestselling computer model of all time?,124,1.34,10,90493.70000004768,96349.79999995232,q,S,3996.5999999046326,,,,HRV,HRV_0254,2022-11-30 19:41:26
