trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,trialEvents,selected,rt,rt_UNIX,rt_perfnow,receivedResponse,rsp,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'turkey sandwich', 'src': '/static/foodstim60/turkey sandwich.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 2534.899999976158, 'positionName': 'LEFT', 'positionCoords': [512.6, 395.5], 'bid': 7.79}, {'imgObject': {}, 'id': 'seaweed', 'src': '/static/foodstim60/seaweed.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 2535.3000000715256, 'positionName': 'RIGHT', 'positionCoords': [998.4, 395], 'bid': 3.6}]",2132.2000000476837,1669837748702,turkey sandwich,seaweed,7.79,3.6,-4.1899999999999995,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 4051.8000000715256, 'date time': 1669837750622}]",turkey sandwich,2377.100000023842,2381,2381.100000023842,True,u,5020.399999976158,2888.1999999284744,1669837751590,2888,HRV,HRV_0259,2022-11-30 19:53:46
1,"[{'imgObject': {}, 'id': 'omelette', 'src': '/static/foodstim60/omelette.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 5022.700000047684, 'positionName': 'LEFT', 'positionCoords': [511.6, 395.5], 'bid': 5.55}, {'imgObject': {}, 'id': 'mango', 'src': '/static/foodstim60/mango.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 5023.100000023842, 'positionName': 'RIGHT', 'positionCoords': [998.4, 394.5], 'bid': 5.48}]",5021.200000047684,1669837751591,omelette,mango,5.55,5.48,-0.0699999999999994,,mango,1984.1000000238419,1988,1988.1999999284744,True,i,7517.5,2496.2999999523163,1669837754088,2497,HRV,HRV_0259,2022-11-30 19:53:46
2,"[{'imgObject': {}, 'id': 'blackbeanswithrice', 'src': '/static/foodstim60/blackbeanswithrice.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 7519.899999976158, 'positionName': 'LEFT', 'positionCoords': [511.6, 395], 'bid': 5.94}, {'imgObject': {}, 'id': 'rigatoni and sauce', 'src': '/static/foodstim60/rigatoni and sauce.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 7520.300000071526, 'positionName': 'RIGHT', 'positionCoords': [998.4, 394.5], 'bid': 5.67}]",7518.200000047684,1669837754088,blackbeanswithrice,rigatoni and sauce,5.94,5.67,-0.27000000000000046,,blackbeanswithrice,1065.0,1069,1069.1000000238419,True,u,9088.399999976158,1570.1999999284744,1669837755659,1571,HRV,HRV_0259,2022-11-30 19:53:46
3,"[{'imgObject': {}, 'id': 'cantaloupe', 'src': '/static/foodstim60/cantaloupe.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 9090.600000023842, 'positionName': 'LEFT', 'positionCoords': [512.6, 395.5], 'bid': 4.16}, {'imgObject': {}, 'id': 'ice cream sundae 002', 'src': '/static/foodstim60/ice cream sundae 002.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 9090.899999976158, 'positionName': 'RIGHT', 'positionCoords': [998.4, 395.5], 'bid': 0.22}]",9089.100000023842,1669837755659,cantaloupe,ice cream sundae 002,4.16,0.22,-3.94,,cantaloupe,936.1000000238419,940,940.2000000476837,True,u,10537.5,1448.3999999761581,1669837757108,1449,HRV,HRV_0259,2022-11-30 19:53:46
4,"[{'imgObject': {}, 'id': 'pear', 'src': '/static/foodstim60/pear.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 10539.600000023842, 'positionName': 'LEFT', 'positionCoords': [510.6, 395], 'bid': 4.01}, {'imgObject': {}, 'id': 'cherry tomato', 'src': '/static/foodstim60/cherry tomato.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 10539.899999976158, 'positionName': 'RIGHT', 'positionCoords': [998.4, 395], 'bid': 5.16}]",10538.200000047684,1669837757108,pear,cherry tomato,4.01,5.16,1.1500000000000004,,cherry tomato,939.8999999761581,944,944.0,True,i,11985.0,1446.7999999523163,1669837758555,1447,HRV,HRV_0259,2022-11-30 19:53:46
5,"[{'imgObject': {}, 'id': 'roastedpotatoes', 'src': '/static/foodstim60/roastedpotatoes.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 11987.100000023842, 'positionName': 'LEFT', 'positionCoords': [512.6, 395], 'bid': 6}, {'imgObject': {}, 'id': 'sweetpotato', 'src': '/static/foodstim60/sweetpotato.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 11987.399999976158, 'positionName': 'RIGHT', 'positionCoords': [998.4, 395], 'bid': 5.87}]",11985.600000023842,1669837758556,roastedpotatoes,sweetpotato,6.0,5.87,-0.1299999999999999,,roastedpotatoes,1019.6000000238419,1024,1023.7000000476837,True,u,13513.200000047684,1527.6000000238419,1669837760083,1527,HRV,HRV_0259,2022-11-30 19:53:46
6,"[{'imgObject': {}, 'id': 'Tribe humus pita', 'src': '/static/foodstim60/Tribe humus pita.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 13515.5, 'positionName': 'LEFT', 'positionCoords': [510.6, 394.5], 'bid': 5.07}, {'imgObject': {}, 'id': 'raisin bran w milk', 'src': '/static/foodstim60/raisin bran w milk.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 13515.700000047684, 'positionName': 'RIGHT', 'positionCoords': [998.4, 394.5], 'bid': 0.16}]",13513.899999976158,1669837760084,Tribe humus pita,raisin bran w milk,5.07,0.16,-4.91,,Tribe humus pita,1251.3000000715256,1255,1255.0,True,u,15276.300000071526,1762.4000000953674,1669837761846,1762,HRV,HRV_0259,2022-11-30 19:53:46
7,"[{'imgObject': {}, 'id': 'raspberries', 'src': '/static/foodstim60/raspberries.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 15278.300000071526, 'positionName': 'LEFT', 'positionCoords': [510.6, 394.5], 'bid': 5.44}, {'imgObject': {}, 'id': 'yogurt no spoon', 'src': '/static/foodstim60/yogurt no spoon.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 15278.5, 'positionName': 'RIGHT', 'positionCoords': [998.4, 395], 'bid': 5.36}]",15276.800000071526,1669837761847,raspberries,yogurt no spoon,5.44,5.36,-0.08000000000000007,,raspberries,738.1999999284744,742,742.0999999046326,True,u,16524.100000023842,1247.2999999523163,1669837763094,1247,HRV,HRV_0259,2022-11-30 19:53:46
8,"[{'imgObject': {}, 'id': 'chicken nuggets2', 'src': '/static/foodstim60/chicken nuggets2.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 16526.5, 'positionName': 'LEFT', 'positionCoords': [511.6, 395.5], 'bid': 0.25}, {'imgObject': {}, 'id': 'bagel and cc', 'src': '/static/foodstim60/bagel and cc.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 16526.899999976158, 'positionName': 'RIGHT', 'positionCoords': [998.4, 395], 'bid': 4.95}]",16524.800000071526,1669837763095,chicken nuggets2,bagel and cc,0.25,4.95,4.7,,bagel and cc,908.0999999046326,912,911.6999999284744,True,i,17944.600000023842,1419.7999999523163,1669837764515,1420,HRV,HRV_0259,2022-11-30 19:53:46
9,"[{'imgObject': {}, 'id': 'bagel and cc', 'src': '/static/foodstim60/bagel and cc.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 17946.800000071526, 'positionName': 'LEFT', 'positionCoords': [511.6, 395], 'bid': 4.95}, {'imgObject': {}, 'id': 'hotdog w must', 'src': '/static/foodstim60/hotdog w must.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 17947.300000071526, 'positionName': 'RIGHT', 'positionCoords': [998.4, 395.5], 'bid': 5.29}]",17945.200000047684,1669837764516,bagel and cc,hotdog w must,4.95,5.29,0.33999999999999986,,bagel and cc,1010.6999999284744,1014,1014.5,True,u,19464.700000047684,1519.5,1669837766035,1519,HRV,HRV_0259,2022-11-30 19:53:46
