Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,trialEvents,exp,subjectId,date
Kansas City ,6,The first suburban shopping center in the U.S. was established in what city?,99,1.954,0,6002.600000023842,q,S,4113.0,12604.700000047684,,HRV,HRV_0261,2022-11-30 19:37:27
Thomas Nast ,4,Which cartoonist is famous for creating the popular image of Santa Claus? ,333,0.638,1,12604.700000047684,q,S,4619.899999976158,18381.80000001192,,HRV,HRV_0261,2022-11-30 19:37:27
the skin and bones of animals,2,What is gelatin made from?,445,0.567,2,18381.80000001192,p,K,3407.5,22882.400000035763,,HRV,HRV_0261,2022-11-30 19:37:27
Martin Luther King Jr. ,2,What civil rights leader did Dorothy Parker leave the bulk of her estate to?,149,0.713,3,22882.400000035763,q,S,3400.899999976158,27528.30000001192,,HRV,HRV_0261,2022-11-30 19:37:27
France,5,"What country launched Europe's first super-high-speed passenger train, in 1981?",159,1.085,4,27528.30000001192,q,S,6302.300000011921,35443.60000002384,,HRV,HRV_0261,2022-11-30 19:37:27
Mickey Finn,4,What owner-bartender of Chicago's Lone Star Saloon was famous for his drug-laced drinks? ,241,1.302,5,35443.700000047684,q,S,3934.699999988079,41212.40000003576,,HRV,HRV_0261,2022-11-30 19:37:27
Let's spend some time together,6,"In 1967, what did The Ed Sullivan Show force the Rolling Stones to sing instead of the title of their song ""Let's Spend the Night Together""?",54,1.763,6,41212.40000003576,p,K,6194.5,49690.80000001192,,HRV,HRV_0261,2022-11-30 19:37:27
honey,5,Which is the only food that can never go off or go bad?,442,1.978,7,49690.90000003576,q,S,3270.5,55456.5,,HRV,HRV_0261,2022-11-30 19:37:27
Espresso,5,The Italian government regulates the price of what beverage?,399,1.629,8,55456.60000002384,q,S,4883.899999976158,62500.0,,HRV,HRV_0261,2022-11-30 19:37:27
Honda's Civic,2,"After Toyota's Corolla, what coupe introduced in 1972 is the second oldest Japanese car model still on the market?",17,1.186,9,62500.10000002384,q,S,4587.399999976158,68792.80000001192,,HRV,HRV_0261,2022-11-30 19:37:27
Grover Cleveland ,7,Who was the only U.S. president to have been married in the White House? ,385,1.107,10,68792.90000003576,q,S,3449.599999964237,73878.70000004768,,HRV,HRV_0261,2022-11-30 19:37:27
Love Me Do ,7,What was The Beatles's first song to hit the UK charts?,280,1.921,11,73878.70000004768,q,S,2337.599999964237,78651.90000003576,,HRV,HRV_0261,2022-11-30 19:37:27
Oliver!,3,What's the only Best Picture Oscar winner whose title ends with an exclamation point?  ,306,1.15,12,78651.90000003576,q,S,3329.599999964237,83665.20000004768,,HRV,HRV_0261,2022-11-30 19:37:27
Texas,7,"In what state was the U.S.'s first ""Adopt-a-Highway"" program started?",67,1.245,13,83665.20000004768,q,S,3708.399999976158,89128.10000002384,,HRV,HRV_0261,2022-11-30 19:37:27
All in the Family ,7,"What's the only TV show to top the Nielsen ratings five seasons in a row, from 1972 to 1976?  ",311,1.432,14,89128.10000002384,q,S,4834.300000011921,95911.70000004768,,HRV,HRV_0261,2022-11-30 19:37:27
Temple Prostitute,6,"Anciently, what was the job description of a ""hierodule""?",21,1.274,15,95911.70000004768,q,S,3399.399999976158,101108.30000001192,,HRV,HRV_0261,2022-11-30 19:37:27
Bling bling ,2,What term does rapper B.G. say he wishes he'd patented when he used it for the title of his massive 1999 hit?,264,1.571,16,101108.30000001192,q,S,7394.600000023842,110593.5,,HRV,HRV_0261,2022-11-30 19:37:27
Silicon,1,What element is combined with oxygen to make up the mineral quartz?,269,1.257,17,110593.5,q,S,4046.2000000476837,116419.90000003576,,HRV,HRV_0261,2022-11-30 19:37:27
Coca-Cola,1,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,1.576,18,116420.0,q,S,2723.5,121249.60000002384,,HRV,HRV_0261,2022-11-30 19:37:27
The Netherlands,6,In 1568 the Catholic Church sentenced the entire population of which nation to death as heretics?,47,0.864,19,121249.60000002384,q,S,4663.899999976158,127300.70000004768,,HRV,HRV_0261,2022-11-30 19:37:27
Cockroach,3,What animal can live up to a week without its head?,131,1.679,20,127300.70000004768,p,K,5015.599999964237,134532.5,,HRV,HRV_0261,2022-11-30 19:37:27
A Cheeta born in 1932,1,Who is the world's oldest (non-human) primate on record?  ,369,1.897,21,134532.60000002384,q,S,3296.5,140261.40000003576,,HRV,HRV_0261,2022-11-30 19:37:27
popscicle,7,What food was invented by an 11 year old in 1905?,450,0.751,22,140261.40000003576,q,S,2809.099999964237,144343.5,,HRV,HRV_0261,2022-11-30 19:37:27
Adding olive juice,4,What turns a plain martini into a dirty martini?,440,1.644,23,144343.5,p,K,5915.5,152434.70000004768,,HRV,HRV_0261,2022-11-30 19:37:27
Mushrooms which have been exposed to light,6,What is the only non-animal natural source of vitamin D?,459,1.845,24,152434.70000004768,p,K,8320.799999952316,163131.10000002384,,HRV,HRV_0261,2022-11-30 19:37:27
Kayak,4,An umiak is a larger version of what? ,20,1.081,25,163131.10000002384,q,S,2702.300000011921,167427.80000001192,,HRV,HRV_0261,2022-11-30 19:37:27
Giant squid,6,What is the largest creature without a backbone? ,203,0.884,26,167427.80000001192,q,S,3218.600000023842,172064.5,,HRV,HRV_0261,2022-11-30 19:37:27
