trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rsp,rt,rt_UNIX,receivedResponse,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,trialEvents,rt_perfnow,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'raisin bran w milk', 'src': '/static/foodstim60/raisin bran w milk.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 123421.70000004768, 'positionName': 'LEFT', 'positionCoords': [408.36, 274.5], 'bid': 4.1}, {'imgObject': {}, 'id': 'salmon', 'src': '/static/foodstim60/salmon.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 123684.79999995232, 'positionName': 'RIGHT', 'positionCoords': [887.64, 275.5], 'bid': 0.27}]",136805.5,1669842224977,raisin bran w milk,salmon,4.1,0.27,-3.8299999999999996,NaN,NaN,NaN,NaN,False,140828.70000004768,4023.2000000476837,1669842229000,4023,,,HRV,HRV_0299,2022-11-30 21:11:07
1,"[{'imgObject': {}, 'id': 'bagel plain', 'src': '/static/foodstim60/bagel plain.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 123787.10000014305, 'positionName': 'LEFT', 'positionCoords': [409.36, 275], 'bid': 6.3100000000000005}, {'imgObject': {}, 'id': 'olives', 'src': '/static/foodstim60/olives.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 123863, 'positionName': 'RIGHT', 'positionCoords': [887.64, 275], 'bid': 0.1}]",140829.29999995232,1669842229000,bagel plain,olives,6.3100000000000005,0.1,-6.210000000000001,NaN,NaN,NaN,NaN,False,144928.70000004768,4099.400000095367,1669842233100,4100,,,HRV,HRV_0299,2022-11-30 21:11:07
2,"[{'imgObject': {}, 'id': 'mashed potato', 'src': '/static/foodstim60/mashed potato.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 123957.5, 'positionName': 'LEFT', 'positionCoords': [410.36, 275.5], 'bid': 8.88}, {'imgObject': {}, 'id': 'grilled chicken strips', 'src': '/static/foodstim60/grilled chicken strips.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 124005.40000009537, 'positionName': 'RIGHT', 'positionCoords': [887.64, 274.5], 'bid': 9.71}]",144929.0,1669842233100,mashed potato,grilled chicken strips,8.88,9.71,0.8300000000000001,NaN,NaN,NaN,NaN,False,148954.79999995232,4025.7999999523163,1669842237126,4026,,,HRV,HRV_0299,2022-11-30 21:11:07
3,"[{'imgObject': {}, 'id': 'cocktailshrimp', 'src': '/static/foodstim60/cocktailshrimp.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 124077.40000009537, 'positionName': 'LEFT', 'positionCoords': [409.36, 275], 'bid': 8.14}, {'imgObject': {}, 'id': 'hotdog w must', 'src': '/static/foodstim60/hotdog w must.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 125068.10000014305, 'positionName': 'RIGHT', 'positionCoords': [887.64, 275.5], 'bid': 9.13}]",148955.0,1669842237126,cocktailshrimp,hotdog w must,8.14,9.13,0.9900000000000002,NaN,NaN,NaN,NaN,False,152982.10000014305,4027.100000143051,1669842241153,4027,,,HRV,HRV_0299,2022-11-30 21:11:07
4,"[{'imgObject': {}, 'id': 'raspberries', 'src': '/static/foodstim60/raspberries.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 124094.79999995232, 'positionName': 'LEFT', 'positionCoords': [408.36, 274.5], 'bid': 8.55}, {'imgObject': {}, 'id': 'raisin bran w milk', 'src': '/static/foodstim60/raisin bran w milk.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 123656.29999995232, 'positionName': 'RIGHT', 'positionCoords': [887.64, 274.5], 'bid': 4.1}]",152982.5,1669842241154,raspberries,raisin bran w milk,8.55,4.1,-4.450000000000001,NaN,NaN,NaN,NaN,False,241142.20000004768,88159.70000004768,1669842329314,88160,,,HRV,HRV_0299,2022-11-30 21:11:07
5,"[{'imgObject': {}, 'id': 'cantaloupe', 'src': '/static/foodstim60/cantaloupe.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 124128.79999995232, 'positionName': 'LEFT', 'positionCoords': [410.36, 275.5], 'bid': 5.87}, {'imgObject': {}, 'id': 'eggs', 'src': '/static/foodstim60/eggs.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 124183.29999995232, 'positionName': 'RIGHT', 'positionCoords': [887.64, 275.5], 'bid': 1.5}]",241142.79999995232,1669842329314,cantaloupe,eggs,5.87,1.5,-4.37,NaN,NaN,NaN,NaN,False,245519.90000009537,4377.100000143051,1669842333691,4377,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 243681.90000009537, 'date time': 1669842331854}, {'event': 'fullscreenchange', 'details': 'fullscreenexit', 'performance time': 243747.20000004768, 'date time': 1669842331919}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 244077.5, 'date time': 1669842332249}]",,HRV,HRV_0299,2022-11-30 21:11:07
6,"[{'imgObject': {}, 'id': 'olives', 'src': '/static/foodstim60/olives.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 245627.10000014305, 'positionName': 'LEFT', 'positionCoords': [409.36, 180.5], 'bid': 0.1}, {'imgObject': {}, 'id': 'froot loops w milk', 'src': '/static/foodstim60/froot loops w milk.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 245660.79999995232, 'positionName': 'RIGHT', 'positionCoords': [887.64, 180.5], 'bid': 1.06}]",245520.5,1669842333692,olives,froot loops w milk,0.1,1.06,0.9600000000000001,froot loops w milk,i,1188.9000000953674,1252,True,247284.5,1764.0,1669842335456,1764,,1251.9000000953674,HRV,HRV_0299,2022-11-30 21:11:07
7,"[{'imgObject': {}, 'id': 'raspberries', 'src': '/static/foodstim60/raspberries.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 247287.79999995232, 'positionName': 'LEFT', 'positionCoords': [408.36, 180], 'bid': 8.55}, {'imgObject': {}, 'id': 'blueberries', 'src': '/static/foodstim60/blueberries.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 247291, 'positionName': 'RIGHT', 'positionCoords': [887.64, 180], 'bid': 8.23}]",247285.20000004768,1669842335457,raspberries,blueberries,8.55,8.23,-0.3200000000000003,blueberries,i,844.5,854,True,248659.79999995232,1374.5999999046326,1669842336832,1375,,854.5999999046326,HRV,HRV_0299,2022-11-30 21:11:07
8,"[{'imgObject': {}, 'id': 'froot loops w milk', 'src': '/static/foodstim60/froot loops w milk.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 248670.60000014305, 'positionName': 'LEFT', 'positionCoords': [409.36, 180.5], 'bid': 1.06}, {'imgObject': {}, 'id': 'sweetpotato', 'src': '/static/foodstim60/sweetpotato.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 248671.60000014305, 'positionName': 'RIGHT', 'positionCoords': [887.64, 180.5], 'bid': 7.3}]",248664.40000009537,1669842336836,froot loops w milk,sweetpotato,1.06,7.3,6.24,sweetpotato,i,1060.7999999523163,1062,True,250240.79999995232,1576.3999998569489,1669842338412,1576,,1061.7000000476837,HRV,HRV_0299,2022-11-30 21:11:07
9,"[{'imgObject': {}, 'id': 'avocado', 'src': '/static/foodstim60/avocado.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 250244.20000004768, 'positionName': 'LEFT', 'positionCoords': [410.36, 181], 'bid': 4.6000000000000005}, {'imgObject': {}, 'id': 'Grapes', 'src': '/static/foodstim60/Grapes.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 250247, 'positionName': 'RIGHT', 'positionCoords': [887.64, 180], 'bid': 4.5}]",250241.60000014305,1669842338413,avocado,Grapes,4.6000000000000005,4.5,-0.10000000000000053,Grapes,i,2067.5999999046326,2069,True,252813.60000014305,2572.0,1669842340985,2572,,2068.399999856949,HRV,HRV_0299,2022-11-30 21:11:07
