trialN,QuestionNum,Question,Answer,QuestionRating,AnswerRating,exp,subjectId,date
0.0,179,"What forms the only part of the Kansas border, a seventy-five mile stretch, that's not drawn with a straight edge?",The Missouri River ,0,49,HRV,HRV_0316,2022-11-30 22:49:47
1.0,105,"The SS Faith, a ship built by Leslie Comyn, was made of what unique material?",Cement,1,49,HRV,HRV_0316,2022-11-30 22:49:47
2.0,460,How did the pound cake get its name?,There was a pound of every ingredient in the original reciipe. ,80,98,HRV,HRV_0316,2022-11-30 22:49:47
3.0,196,"What is absent in ""negative"" blood types like O negative and AB negative? ",Rhesus antigens (Rh or RhD),3,37,HRV,HRV_0316,2022-11-30 22:49:47
4.0,444,What item of food holds the world record for being the most stolen item of food in the world?,cheese ,97,98,HRV,HRV_0316,2022-11-30 22:49:47
5.0,374,"Who solves crimes in Bayport, located on Barmet Bay? ",The Hardy Boys ,12,12,HRV,HRV_0316,2022-11-30 22:49:47
6.0,431,What is the most expensive spice (by weight) in the world?,Saffron,12,8,HRV,HRV_0316,2022-11-30 22:49:47
7.0,387,"Whose doghouse apparently contains a basement, a pool table, an Andrew Wyeth painting, and a Jacuzzi?",Snoopy's,98,99,HRV,HRV_0316,2022-11-30 22:49:47
8.0,17,"After Toyota's Corolla, what coupe introduced in 1972 is the second oldest Japanese car model still on the market?",Honda's Civic,57,33,HRV,HRV_0316,2022-11-30 22:49:47
9.0,216,What islands are home to most of the world's blue-footed boobies? ,The Galapagos Islands ,83,98,HRV,HRV_0316,2022-11-30 22:49:47
