subjectId,assignmentId,hitId,turkSubmitTo,timestamp,completionCode
HRV_0001,testAssignment18378,testHIT66177,www.calkins.psych.columbia.edu,2022-07-15 13:58:50,gCazlrCjzkH5A8ZS
HRV_0002,testAssignment88639,testHIT33503,www.calkins.psych.columbia.edu,2022-07-15 14:06:55,DenBZBWRPjFwgWkg
HRV_0003,3OS4RQUCRAPA6V4F0NCCR4HM4GFFBX,3W0KKJIARRJZXZ0S8KEXRVN2AOKK8Z,https://www.mturk.com,2022-11-30 17:20:24,Tvwu9CN5hMnxo3nK
HRV_0004,3X66WABAJXSBH0WXWE3OR6JMH323GT,33W1NHWFYHVDKER2BJS25672SAITZJ,https://www.mturk.com,2022-11-30 17:20:29,u3URtBUMCTOZfXml
HRV_0005,3TOK3KHVJUSHAWEIM9JM9W44DREO75,375VSR8FVWJ04ZEA7UN75R6K4PLRZ4,https://www.mturk.com,2022-11-30 17:20:29,dS8XRertVjHKlxPC
HRV_0006,3Z3ZLGNNSJ42UPQBZA80LKNONQB3QO,3RTFSSG7T8GL76ESRN64KB33HVSWLT,https://www.mturk.com,2022-11-30 17:20:29,PBdpVI7lizDJ27hS
HRV_0007,3QIYRE09Y4RLHPZ4WE20TXDMKV9N1S,33W1NHWFYHVDKER2BJS25672SAITZJ,https://www.mturk.com,2022-11-30 17:20:30,iSj4T2cuf6Wrjyvo
HRV_0008,3ZY8KE4ISKDM6YSUJKE64FF7EA3QV7,3CKVGCS3PGFF3T8XIPAKP28U8KLS01,https://www.mturk.com,2022-11-30 17:20:33,Bxza68ExAR4zbvaP
HRV_0009,3I7DHKZYGOA8HFN6ZDLZOIHUUKTF5W,3X52SWXE0XFS42KMEAD5HSDGNMECWT,https://www.mturk.com,2022-11-30 17:20:33,VurfZAjYDVw0r5pE
HRV_0010,3LO69W1SU4NSX4MM2K7ONSD3HPSGLJ,3BDORL6HKKNNW630FG3ZUT5ZV7ZCRQ,https://www.mturk.com,2022-11-30 17:20:34,2PatQ6wRxflNKbEH
HRV_0011,39JEC7537VBICXIBE2DBKAQQAV2VC7,3P7RGTLO6ENDGNT75IYBNMTX0CKKA3,https://www.mturk.com,2022-11-30 17:20:37,4OpkrlyvlE49Ueyd
HRV_0012,3WS1NTTKEZM9M81527FN7NL3DCI0FW,3K3IX1W4S61EREQNIA3JJ3FWUMQPA9,https://www.mturk.com,2022-11-30 17:20:37,uxl5qIQpBporRFPk
HRV_0013,30OG32W0SVLK1QTG82XF0HWG94ENEC,32FESTC2NH0FCYVHJAY4Z4SJ263CUU,https://www.mturk.com,2022-11-30 17:20:37,Mi6PRK2xLkoXaRd9
HRV_0014,3TS1AR6UQRON4J1PN60WM2VQLQOF7B,3A3KKYU7P3R5DOWDRZ7JKOISH0IWMV,https://www.mturk.com,2022-11-30 17:20:38,xKX9tZ8bWyNLNVXx
HRV_0015,3YOH7BII0AH0VVUZ6FU98T3YF4CKVA,3W0KKJIARRJZXZ0S8KEXRVN2AOKK8Z,https://www.mturk.com,2022-11-30 17:20:43,LprDK3xtZfs7QfuI
