Var1,QuestionNum,Question,AnswerUse,IsFood,Curiosity,Satisfy,More,CurSD,SatSD,MoreSD,KnowNO,KnowTOT,KnowYES,Count,KnowNOprop,KnowYESprop,KnowTOTprop,CurSD_z
1,1,"""An Assembly Such as This"" was a retelling of what famous literary work from a different character's point of view?",Pride and Prejudice,0,58.8,54.57777778,42,35.23337777,34.09444695,36.16251198,42,1,2,46,0.913043478,0.043478261,0.02173913,0.934737895
2,2,"""Dear Abby"" first appeared in a newspaper of what city?",San Fancisco,0,57.66666667,58.11111111,39.11111111,33.23337393,30.77733654,30.4234663,25,4,7,36,0.694444444,0.194444444,0.111111111,0.232856236
3,3,"""Don't Stand So Close to Me"" by the Police was inspired by what literary work?",Lolita by Vladimir Nabokov,0,62.74285714,51.48571429,45.94285714,32.62022366,32.23568668,30.26252085,29,4,3,37,0.783783784,0.081081081,0.108108108,0.017677184
4,4,"""Gem"" is the trade name for the most common, three-loop design of what?",The paper clip,0,56.65789474,56.57894737,44.5,32.27355734,31.59510018,32.22702408,32,4,3,39,0.820512821,0.076923077,0.102564103,-0.103981947
7,5,"""Welcome Stranger,"" the largest nugget of gold discovered, weighed 158 pounds and was discovered in what country?",Australia,0,59.65853659,58.53658537,43.90243902,33.20813888,32.06719317,31.63684946,33,3,4,41,0.804878049,0.097560976,0.073170732,0.224000243
9,6,"""White Christmas"" playing on Armed Forces Radio was the secret signal for what event on April 30, 1975?",The evacuation of Saigon,0,69.70212766,60.04255319,50.40425532,30.9086416,31.98162342,36.34117295,34,8,5,48,0.708333333,0.104166667,0.166666667,-0.582985689
12,7,"A California Chumash Indian woman, who appears to have been killed by a blow to the head 9,000 years ago, is the only human ever to be found where?",The La Brea tar pits ,0,72.91666667,68.27083333,60.52083333,31.84525973,31.62529259,36.3364828,41,5,2,48,0.854166667,0.041666667,0.104166667,-0.254288778
13,8,A causeway lined with hundreds of sphinxes once connected Karnak to what other great Egyptian temple?,Luxor,0,60.88095238,61.19047619,49.4047619,33.42498144,30.01238614,33.06981493,34,7,2,43,0.790697674,0.046511628,0.162790698,0.300099006
14,9,A conference on safety held at Columbia University's Teacher College in 1939 led to what change? ,School buses were painted yellow,0,54.84090909,62.72727273,45,32.29438945,32.47207289,34.93449019,39,4,1,45,0.866666667,0.022222222,0.088888889,-0.096671125
17,10,"A two-million gallon tank of what substance exploded in Boston in 1919, resulting in 21 deaths?",Molasses,0,70.89130435,67.93478261,63.19565217,31.84841057,32.41083644,32.44456439,37,6,3,46,0.804347826,0.065217391,0.130434783,-0.253183021
19,11,"According to Chairman Mao, ""political power grows out of"" what?",The barrel of a gun,0,52.10869565,58.95652174,43.86956522,32.60281396,30.41049272,35.54315605,31,6,9,46,0.673913043,0.195652174,0.130434783,0.011567422
20,12,"According to Norse sagas, who gave Greenland its misleading name in order to attract settlers? ",Eric the Red,0,56.90243902,54.68292683,44.63414634,35.10470401,31.67367916,32.21626615,29,6,6,42,0.69047619,0.142857143,0.142857143,0.889581107
